dataset,method,metric,value,source_table,source_line
hepatitis,U-MCCD,TPR,0.286,SM-tab:Real_Data_Result2.1,560
hepatitis,U-MCCD,TNR,0.881,SM-tab:Real_Data_Result2.1,560
hepatitis,U-MCCD,BA,0.583,SM-tab:Real_Data_Result2.2,579
hepatitis,U-MCCD,F2,0.263,SM-tab:Real_Data_Result2.2,579
hepatitis,SU-MCCD,TPR,0.286,SM-tab:Real_Data_Result2.1,561
hepatitis,SU-MCCD,TNR,0.925,SM-tab:Real_Data_Result2.1,561
hepatitis,SU-MCCD,BA,0.606,SM-tab:Real_Data_Result2.2,580
hepatitis,SU-MCCD,F2,0.286,SM-tab:Real_Data_Result2.2,580
hepatitis,UN-MCCD,TPR,0.714,SM-tab:Real_Data_Result2.1,562
hepatitis,UN-MCCD,TNR,0.657,SM-tab:Real_Data_Result2.1,562
hepatitis,UN-MCCD,BA,0.686,SM-tab:Real_Data_Result2.2,581
hepatitis,UN-MCCD,F2,0.446,SM-tab:Real_Data_Result2.2,581
hepatitis,SUN-MCCD,TPR,0.714,SM-tab:Real_Data_Result2.1,563
hepatitis,SUN-MCCD,TNR,0.657,SM-tab:Real_Data_Result2.1,563
hepatitis,SUN-MCCD,BA,0.686,SM-tab:Real_Data_Result2.2,582
hepatitis,SUN-MCCD,F2,0.446,SM-tab:Real_Data_Result2.2,582
hepatitis,LOF,TPR,0.000,SM-tab:Real_Data_Result2.1,564
hepatitis,LOF,TNR,0.985,SM-tab:Real_Data_Result2.1,564
hepatitis,LOF,BA,0.493,SM-tab:Real_Data_Result2.2,583
hepatitis,LOF,F2,0.000,SM-tab:Real_Data_Result2.2,583
hepatitis,DBSCAN,TPR,0.000,SM-tab:Real_Data_Result2.1,565
hepatitis,DBSCAN,TNR,0.955,SM-tab:Real_Data_Result2.1,565
hepatitis,DBSCAN,BA,0.478,SM-tab:Real_Data_Result2.2,584
hepatitis,DBSCAN,F2,0.000,SM-tab:Real_Data_Result2.2,584
hepatitis,MST,TPR,0.429,SM-tab:Real_Data_Result2.1,566
hepatitis,MST,TNR,0.866,SM-tab:Real_Data_Result2.1,566
hepatitis,MST,BA,0.647,SM-tab:Real_Data_Result2.2,585
hepatitis,MST,F2,0.375,SM-tab:Real_Data_Result2.2,585
hepatitis,ODIN,TPR,0.429,SM-tab:Real_Data_Result2.1,567
hepatitis,ODIN,TNR,0.746,SM-tab:Real_Data_Result2.1,567
hepatitis,ODIN,BA,0.587,SM-tab:Real_Data_Result2.2,586
hepatitis,ODIN,F2,0.313,SM-tab:Real_Data_Result2.2,586
hepatitis,iForest,TPR,0.143,SM-tab:Real_Data_Result2.1,568
hepatitis,iForest,TNR,0.821,SM-tab:Real_Data_Result2.1,568
hepatitis,iForest,BA,0.482,SM-tab:Real_Data_Result2.2,587
hepatitis,iForest,F2,0.122,SM-tab:Real_Data_Result2.2,587
glass,U-MCCD,TPR,1.000,SM-tab:Real_Data_Result2.1,560
glass,U-MCCD,TNR,0.363,SM-tab:Real_Data_Result2.1,560
glass,U-MCCD,BA,0.681,SM-tab:Real_Data_Result2.2,579
glass,U-MCCD,F2,0.257,SM-tab:Real_Data_Result2.2,579
glass,SU-MCCD,TPR,1.000,SM-tab:Real_Data_Result2.1,561
glass,SU-MCCD,TNR,0.363,SM-tab:Real_Data_Result2.1,561
glass,SU-MCCD,BA,0.681,SM-tab:Real_Data_Result2.2,580
glass,SU-MCCD,F2,0.257,SM-tab:Real_Data_Result2.2,580
glass,UN-MCCD,TPR,0.222,SM-tab:Real_Data_Result2.1,562
glass,UN-MCCD,TNR,0.765,SM-tab:Real_Data_Result2.1,562
glass,UN-MCCD,BA,0.493,SM-tab:Real_Data_Result2.2,581
glass,UN-MCCD,F2,0.116,SM-tab:Real_Data_Result2.2,581
glass,SUN-MCCD,TPR,1.000,SM-tab:Real_Data_Result2.1,563
glass,SUN-MCCD,TNR,0.540,SM-tab:Real_Data_Result2.1,563
glass,SUN-MCCD,BA,0.770,SM-tab:Real_Data_Result2.2,582
glass,SUN-MCCD,F2,0.324,SM-tab:Real_Data_Result2.2,582
glass,LOF,TPR,0.778,SM-tab:Real_Data_Result2.1,564
glass,LOF,TNR,0.618,SM-tab:Real_Data_Result2.1,564
glass,LOF,BA,0.697,SM-tab:Real_Data_Result2.2,583
glass,LOF,F2,0.289,SM-tab:Real_Data_Result2.2,583
glass,DBSCAN,TPR,0.000,SM-tab:Real_Data_Result2.1,565
glass,DBSCAN,TNR,0.980,SM-tab:Real_Data_Result2.1,565
glass,DBSCAN,BA,0.490,SM-tab:Real_Data_Result2.2,584
glass,DBSCAN,F2,0.000,SM-tab:Real_Data_Result2.2,584
glass,MST,TPR,0.778,SM-tab:Real_Data_Result2.1,566
glass,MST,TNR,0.662,SM-tab:Real_Data_Result2.1,566
glass,MST,BA,0.720,SM-tab:Real_Data_Result2.2,585
glass,MST,F2,0.313,SM-tab:Real_Data_Result2.2,585
glass,ODIN,TPR,0.111,SM-tab:Real_Data_Result2.1,567
glass,ODIN,TNR,0.848,SM-tab:Real_Data_Result2.1,567
glass,ODIN,BA,0.480,SM-tab:Real_Data_Result2.2,586
glass,ODIN,F2,0.074,SM-tab:Real_Data_Result2.2,586
glass,iForest,TPR,0.111,SM-tab:Real_Data_Result2.1,568
glass,iForest,TNR,0.936,SM-tab:Real_Data_Result2.1,568
glass,iForest,BA,0.524,SM-tab:Real_Data_Result2.2,587
glass,iForest,F2,0.100,SM-tab:Real_Data_Result2.2,587
vertebral,U-MCCD,TPR,0.467,SM-tab:Real_Data_Result2.1,560
vertebral,U-MCCD,TNR,0.643,SM-tab:Real_Data_Result2.1,560
vertebral,U-MCCD,BA,0.555,SM-tab:Real_Data_Result2.2,579
vertebral,U-MCCD,F2,0.335,SM-tab:Real_Data_Result2.2,579
vertebral,SU-MCCD,TPR,0.200,SM-tab:Real_Data_Result2.1,561
vertebral,SU-MCCD,TNR,0.576,SM-tab:Real_Data_Result2.1,561
vertebral,SU-MCCD,BA,0.388,SM-tab:Real_Data_Result2.2,580
vertebral,SU-MCCD,F2,0.140,SM-tab:Real_Data_Result2.2,580
vertebral,UN-MCCD,TPR,0.033,SM-tab:Real_Data_Result2.1,562
vertebral,UN-MCCD,TNR,0.914,SM-tab:Real_Data_Result2.1,562
vertebral,UN-MCCD,BA,0.474,SM-tab:Real_Data_Result2.2,581
vertebral,UN-MCCD,F2,0.036,SM-tab:Real_Data_Result2.2,581
vertebral,SUN-MCCD,TPR,0.100,SM-tab:Real_Data_Result2.1,563
vertebral,SUN-MCCD,TNR,0.928,SM-tab:Real_Data_Result2.1,563
vertebral,SUN-MCCD,BA,0.514,SM-tab:Real_Data_Result2.2,582
vertebral,SUN-MCCD,F2,0.109,SM-tab:Real_Data_Result2.2,582
vertebral,LOF,TPR,0.033,SM-tab:Real_Data_Result2.1,564
vertebral,LOF,TNR,0.938,SM-tab:Real_Data_Result2.1,564
vertebral,LOF,BA,0.488,SM-tab:Real_Data_Result2.2,583
vertebral,LOF,F2,0.037,SM-tab:Real_Data_Result2.2,583
vertebral,DBSCAN,TPR,0.000,SM-tab:Real_Data_Result2.1,565
vertebral,DBSCAN,TNR,0.943,SM-tab:Real_Data_Result2.1,565
vertebral,DBSCAN,BA,0.471,SM-tab:Real_Data_Result2.2,584
vertebral,DBSCAN,F2,0.000,SM-tab:Real_Data_Result2.2,584
vertebral,MST,TPR,0.367,SM-tab:Real_Data_Result2.1,566
vertebral,MST,TNR,0.695,SM-tab:Real_Data_Result2.1,566
vertebral,MST,BA,0.531,SM-tab:Real_Data_Result2.2,585
vertebral,MST,F2,0.282,SM-tab:Real_Data_Result2.2,585
vertebral,ODIN,TPR,0.167,SM-tab:Real_Data_Result2.1,567
vertebral,ODIN,TNR,0.848,SM-tab:Real_Data_Result2.1,567
vertebral,ODIN,BA,0.507,SM-tab:Real_Data_Result2.2,586
vertebral,ODIN,F2,0.159,SM-tab:Real_Data_Result2.2,586
vertebral,iForest,TPR,0.000,SM-tab:Real_Data_Result2.1,568
vertebral,iForest,TNR,0.957,SM-tab:Real_Data_Result2.1,568
vertebral,iForest,BA,0.479,SM-tab:Real_Data_Result2.2,587
vertebral,iForest,F2,0.000,SM-tab:Real_Data_Result2.2,587
ecoli,U-MCCD,TPR,0.750,SM-tab:Real_Data_Result2.1,560
ecoli,U-MCCD,TNR,0.558,SM-tab:Real_Data_Result2.1,560
ecoli,U-MCCD,BA,0.654,SM-tab:Real_Data_Result2.2,579
ecoli,U-MCCD,F2,0.164,SM-tab:Real_Data_Result2.2,579
ecoli,SU-MCCD,TPR,0.750,SM-tab:Real_Data_Result2.1,561
ecoli,SU-MCCD,TNR,0.680,SM-tab:Real_Data_Result2.1,561
ecoli,SU-MCCD,BA,0.715,SM-tab:Real_Data_Result2.2,580
ecoli,SU-MCCD,F2,0.210,SM-tab:Real_Data_Result2.2,580
ecoli,UN-MCCD,TPR,0.750,SM-tab:Real_Data_Result2.1,562
ecoli,UN-MCCD,TNR,0.668,SM-tab:Real_Data_Result2.1,562
ecoli,UN-MCCD,BA,0.709,SM-tab:Real_Data_Result2.2,581
ecoli,UN-MCCD,F2,0.204,SM-tab:Real_Data_Result2.2,581
ecoli,SUN-MCCD,TPR,0.750,SM-tab:Real_Data_Result2.1,563
ecoli,SUN-MCCD,TNR,0.741,SM-tab:Real_Data_Result2.1,563
ecoli,SUN-MCCD,BA,0.745,SM-tab:Real_Data_Result2.2,582
ecoli,SUN-MCCD,F2,0.244,SM-tab:Real_Data_Result2.2,582
ecoli,LOF,TPR,0.500,SM-tab:Real_Data_Result2.1,564
ecoli,LOF,TNR,0.930,SM-tab:Real_Data_Result2.1,564
ecoli,LOF,BA,0.711,SM-tab:Real_Data_Result2.2,583
ecoli,LOF,F2,0.328,SM-tab:Real_Data_Result2.2,583
ecoli,DBSCAN,TPR,0.000,SM-tab:Real_Data_Result2.1,565
ecoli,DBSCAN,TNR,0.988,SM-tab:Real_Data_Result2.1,565
ecoli,DBSCAN,BA,0.494,SM-tab:Real_Data_Result2.2,584
ecoli,DBSCAN,F2,0.000,SM-tab:Real_Data_Result2.2,584
ecoli,MST,TPR,0.875,SM-tab:Real_Data_Result2.1,566
ecoli,MST,TNR,0.546,SM-tab:Real_Data_Result2.1,566
ecoli,MST,BA,0.710,SM-tab:Real_Data_Result2.2,585
ecoli,MST,F2,0.186,SM-tab:Real_Data_Result2.2,585
ecoli,ODIN,TPR,0.750,SM-tab:Real_Data_Result2.1,567
ecoli,ODIN,TNR,0.857,SM-tab:Real_Data_Result2.1,567
ecoli,ODIN,BA,0.803,SM-tab:Real_Data_Result2.2,586
ecoli,ODIN,F2,0.353,SM-tab:Real_Data_Result2.2,586
ecoli,iForest,TPR,0.750,SM-tab:Real_Data_Result2.1,568
ecoli,iForest,TNR,0.976,SM-tab:Real_Data_Result2.1,568
ecoli,iForest,BA,0.863,SM-tab:Real_Data_Result2.2,587
ecoli,iForest,F2,0.652,SM-tab:Real_Data_Result2.2,587
stamps,U-MCCD,TPR,0.065,SM-tab:Real_Data_Result2.1,560
stamps,U-MCCD,TNR,0.958,SM-tab:Real_Data_Result2.1,560
stamps,U-MCCD,BA,0.511,SM-tab:Real_Data_Result2.2,579
stamps,U-MCCD,F2,0.072,SM-tab:Real_Data_Result2.2,579
stamps,SU-MCCD,TPR,0.516,SM-tab:Real_Data_Result2.1,561
stamps,SU-MCCD,TNR,0.883,SM-tab:Real_Data_Result2.1,561
stamps,SU-MCCD,BA,0.700,SM-tab:Real_Data_Result2.2,580
stamps,SU-MCCD,F2,0.455,SM-tab:Real_Data_Result2.2,580
stamps,UN-MCCD,TPR,0.484,SM-tab:Real_Data_Result2.1,562
stamps,UN-MCCD,TNR,0.812,SM-tab:Real_Data_Result2.1,562
stamps,UN-MCCD,BA,0.648,SM-tab:Real_Data_Result2.2,581
stamps,UN-MCCD,F2,0.381,SM-tab:Real_Data_Result2.2,581
stamps,SUN-MCCD,TPR,0.516,SM-tab:Real_Data_Result2.1,563
stamps,SUN-MCCD,TNR,0.884,SM-tab:Real_Data_Result2.1,563
stamps,SUN-MCCD,BA,0.701,SM-tab:Real_Data_Result2.2,582
stamps,SUN-MCCD,F2,0.457,SM-tab:Real_Data_Result2.2,582
stamps,LOF,TPR,0.161,SM-tab:Real_Data_Result2.1,564
stamps,LOF,TNR,0.919,SM-tab:Real_Data_Result2.1,564
stamps,LOF,BA,0.540,SM-tab:Real_Data_Result2.2,583
stamps,LOF,F2,0.162,SM-tab:Real_Data_Result2.2,583
stamps,DBSCAN,TPR,0.161,SM-tab:Real_Data_Result2.1,565
stamps,DBSCAN,TNR,0.955,SM-tab:Real_Data_Result2.1,565
stamps,DBSCAN,BA,0.557,SM-tab:Real_Data_Result2.2,584
stamps,DBSCAN,F2,0.178,SM-tab:Real_Data_Result2.2,584
stamps,MST,TPR,0.774,SM-tab:Real_Data_Result2.1,566
stamps,MST,TNR,0.437,SM-tab:Real_Data_Result2.1,566
stamps,MST,BA,0.606,SM-tab:Real_Data_Result2.2,585
stamps,MST,F2,0.373,SM-tab:Real_Data_Result2.2,585
stamps,ODIN,TPR,0.290,SM-tab:Real_Data_Result2.1,567
stamps,ODIN,TNR,0.874,SM-tab:Real_Data_Result2.1,567
stamps,ODIN,BA,0.582,SM-tab:Real_Data_Result2.2,586
stamps,ODIN,F2,0.262,SM-tab:Real_Data_Result2.2,586
stamps,iForest,TPR,0.097,SM-tab:Real_Data_Result2.1,568
stamps,iForest,TNR,0.961,SM-tab:Real_Data_Result2.1,568
stamps,iForest,BA,0.529,SM-tab:Real_Data_Result2.2,587
stamps,iForest,F2,0.108,SM-tab:Real_Data_Result2.2,587
vowels,U-MCCD,TPR,1.000,SM-tab:Real_Data_Result2.1,560
vowels,U-MCCD,TNR,0.327,SM-tab:Real_Data_Result2.1,560
vowels,U-MCCD,BA,0.664,SM-tab:Real_Data_Result2.2,579
vowels,U-MCCD,F2,0.196,SM-tab:Real_Data_Result2.2,579
vowels,SU-MCCD,TPR,1.000,SM-tab:Real_Data_Result2.1,561
