"dataset","n","d","n0","contam_pct","sorted_ok","in_study","load_status"
"hepatitis",74,19,7,9.45945945945946,TRUE,TRUE,"ok"
"glass",213,9,9,4.22535211267606,FALSE,TRUE,"ok"
"vertebral",240,6,30,12.5,TRUE,TRUE,"ok"
"ecoli",336,7,8,2.38095238095238,FALSE,TRUE,"ok"
"stamps",340,9,31,9.11764705882353,TRUE,TRUE,"ok"
"vowels",1452,12,46,3.16804407713499,TRUE,TRUE,"ok"
"waveform",3443,21,100,2.90444379901249,TRUE,TRUE,"ok"
"wilt",4819,5,257,5.33305665075742,TRUE,TRUE,"ok"
"WBC",223,9,10,4.48430493273543,TRUE,FALSE,"ok"
"WDBC",367,30,10,2.72479564032698,TRUE,FALSE,"ok"
"lymphography",148,18,6,4.05405405405405,TRUE,FALSE,"ok"
"pima",555,8,55,9.90990990990991,TRUE,FALSE,"ok"
"thyroid",3656,6,93,2.5437636761488,TRUE,FALSE,"ok"
"shuffle",1013,9,13,1.28331688055281,TRUE,FALSE,"ok"
"PenDigits",3200,16,20,0.625,TRUE,FALSE,"ok"
"pageblocks",4795,10,510,10.6360792492179,TRUE,FALSE,"ok"
