"dataset","method","s_min","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","quant_label","t_total","status","note","timestamp"
"hepatitis","U-MCCD",NA,74,19,0.285714285714286,0.91044776119403,0.598081023454158,0.277777777777778,0.286,0.881,0.583,0.263,0.029,FALSE,"999",2.29861617088318,"ok",NA,"2026-08-08 22:21:56"
"hepatitis","SU-MCCD",0.0625,74,19,0.285714285714286,0.925373134328358,0.605543710021322,0.285714285714286,0.286,0.925,0.606,0.286,0,TRUE,"999",2.12532496452332,"ok",NA,"2026-08-08 22:21:58"
"hepatitis","UN-MCCD",NA,74,19,0.714285714285714,0.656716417910448,0.685501066098081,0.446428571428572,0.714,0.657,0.686,0.446,0,TRUE,"99",0.0858359336853027,"ok",NA,"2026-08-08 22:21:58"
"hepatitis","SUN-MCCD",0.0625,74,19,0.714285714285714,0.656716417910448,0.685501066098081,0.446428571428572,0.714,0.657,0.686,0.446,0,TRUE,"999",0.0396041870117188,"ok",NA,"2026-08-08 22:21:58"
"glass","U-MCCD",NA,213,9,1,0.441176470588235,0.720588235294118,0.283018867924528,1,0.363,0.681,0.257,0.078,FALSE,"99",3.19750714302063,"ok",NA,"2026-08-08 22:22:01"
"glass","SU-MCCD",0.0625,213,9,1,0.647058823529412,0.823529411764706,0.384615384615385,1,0.363,0.681,0.257,0.284,FALSE,"99",3.09025192260742,"ok",NA,"2026-08-08 22:22:04"
"glass","UN-MCCD",NA,213,9,0.222222222222222,0.764705882352941,0.493464052287582,0.116279069767442,0.222,0.765,0.493,0.116,0,TRUE,"95",0.209067821502686,"ok",NA,"2026-08-08 22:22:04"
"glass","SUN-MCCD",0.0625,213,9,1,0.53921568627451,0.769607843137255,0.323741007194245,1,0.54,0.77,0.324,0.001,FALSE,"95",0.134382963180542,"ok",NA,"2026-08-08 22:22:05"
"vertebral","U-MCCD",NA,240,6,0.433333333333333,0.638095238095238,0.535714285714286,0.311004784688995,0.467,0.643,0.555,0.335,0.034,FALSE,"99",3.77775096893311,"ok",NA,"2026-08-08 22:22:08"
"vertebral","SU-MCCD",0.0625,240,6,0.2,0.576190476190476,0.388095238095238,0.13953488372093,0.2,0.576,0.388,0.14,0,TRUE,"99",3.70386290550232,"ok",NA,"2026-08-08 22:22:12"
"vertebral","UN-MCCD",NA,240,6,0.0333333333333333,0.914285714285714,0.473809523809524,0.0359712230215827,0.033,0.914,0.474,0.036,0,TRUE,"95",0.176288843154907,"ok",NA,"2026-08-08 22:22:12"
"vertebral","SUN-MCCD",0.0625,240,6,0.1,0.928571428571429,0.514285714285714,0.108695652173913,0.1,0.928,0.514,0.109,0.001,FALSE,"95",0.175820112228394,"ok",NA,"2026-08-08 22:22:12"
"ecoli","U-MCCD",NA,336,7,0.875,0.664634146341463,0.769817073170732,0.23489932885906,0.75,0.558,0.654,0.164,0.125,FALSE,"99",3.87760496139526,"ok",NA,"2026-08-08 22:22:16"
"ecoli","SU-MCCD",0.0625,336,7,0.875,0.786585365853659,0.830792682926829,0.321100917431193,0.75,0.68,0.715,0.21,0.125,FALSE,"99",3.75339388847351,"ok",NA,"2026-08-08 22:22:20"
"ecoli","UN-MCCD",NA,336,7,0.875,0.670731707317073,0.772865853658537,0.238095238095238,0.75,0.668,0.709,0.204,0.125,FALSE,"95",0.442779064178467,"ok",NA,"2026-08-08 22:22:21"
"ecoli","SUN-MCCD",0.0625,336,7,0.875,0.798780487804878,0.836890243902439,0.333333333333333,0.75,0.741,0.745,0.244,0.125,FALSE,"95",0.365491151809692,"ok",NA,"2026-08-08 22:22:21"
"stamps","U-MCCD",NA,340,9,0.0645161290322581,0.957928802588997,0.511222465810627,0.0719424460431655,0.065,0.958,0.511,0.072,0,TRUE,"99",5.66031813621521,"ok",NA,"2026-08-08 22:22:27"
"stamps","SU-MCCD",0.0625,340,9,1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.715,FALSE,"99",3.27950096130371,"ok",NA,"2026-08-08 22:22:30"
"stamps","UN-MCCD",NA,340,9,0.483870967741935,0.812297734627832,0.648084351184884,0.380710659898477,0.484,0.812,0.648,0.381,0,TRUE,"95",0.498036861419678,"ok",NA,"2026-08-08 22:22:30"
"stamps","SUN-MCCD",0.0625,340,9,0.516129032258065,0.883495145631068,0.699812088944566,0.454545454545455,0.516,0.884,0.701,0.457,0.002,FALSE,"95",0.293240785598755,"ok",NA,"2026-08-08 22:22:31"
