"dataset","method","params","n","d","n0","TPR","TNR","BA","F2","t_total","status","note","timestamp"
"lymphography","LOF","MinPts=11..30, max over k, threshold=1.5",148,18,6,0.666666666666667,0.985915492957746,0.826291079812207,0.666666666666667,0.0230109691619873,"ok",NA,"2026-08-09 00:30:26"
"lymphography","DBSCAN","minPts=4, eps=1.5277 (4-dist at 1-contam=0.9595), input=X (df->X defect fixed)",148,18,6,0.833333333333333,1,0.916666666666667,0.862068965517242,0.0116350650787354,"ok",NA,"2026-08-09 00:30:26"
"lymphography","MST","cont=0.02, thresh=1.2 (uniform across all data sets)",148,18,6,0.5,0.71830985915493,0.609154929577465,0.223880597014925,0.0565719604492188,"ok",NA,"2026-08-09 00:30:26"
"lymphography","ODIN","k=round(sqrt(n))=12, indeg_thr=round(n^(1/3))=5 (defaults)",148,18,6,0.833333333333333,0.873239436619718,0.853286384976526,0.531914893617021,0.00472211837768555,"ok",NA,"2026-08-09 00:30:26"
"lymphography","iForest","ntrees=1000, sample_size=148, seed=1, threshold=0.55",148,18,6,1,0.929577464788732,0.964788732394366,0.75,0.0146389007568359,"ok",NA,"2026-08-09 00:30:26"
"WBC","LOF","MinPts=11..30, max over k, threshold=1.5",223,9,10,1,0.802816901408451,0.901408450704225,0.543478260869565,0.0297949314117432,"ok",NA,"2026-08-09 00:30:26"
"WBC","DBSCAN","minPts=4, eps=0.7860 (4-dist at 1-contam=0.9552), input=X (df->X defect fixed)",223,9,10,0.6,1,0.8,0.652173913043478,0.0055241584777832,"ok",NA,"2026-08-09 00:30:26"
"WBC","MST","cont=0.02, thresh=1.2 (uniform across all data sets)",223,9,10,0.7,0.755868544600939,0.727934272300469,0.353535353535354,0.0822000503540039,"ok",NA,"2026-08-09 00:30:26"
"WBC","ODIN","k=round(sqrt(n))=15, indeg_thr=round(n^(1/3))=6 (defaults)",223,9,10,0.5,0.868544600938967,0.684272300469484,0.342465753424658,0.0033571720123291,"ok",NA,"2026-08-09 00:30:26"
"WBC","iForest","ntrees=1000, sample_size=223, seed=1, threshold=0.55",223,9,10,0.8,0.938967136150235,0.869483568075117,0.655737704918033,0.00516796112060547,"ok",NA,"2026-08-09 00:30:26"
"WDBC","LOF","MinPts=11..30, max over k, threshold=1.5",367,30,10,0.6,0.938375350140056,0.769187675070028,0.441176470588235,0.11516809463501,"ok",NA,"2026-08-09 00:30:26"
"WDBC","DBSCAN","minPts=4, eps=0.9516 (4-dist at 1-contam=0.9728), input=X (df->X defect fixed)",367,30,10,0.1,0.988795518207283,0.544397759103642,0.111111111111111,0.0149469375610352,"ok",NA,"2026-08-09 00:30:26"
"WDBC","MST","cont=0.02, thresh=1.2 (uniform across all data sets)",367,30,10,0.6,0.781512605042017,0.690756302521008,0.241935483870968,0.181554079055786,"ok",NA,"2026-08-09 00:30:27"
"WDBC","ODIN","k=round(sqrt(n))=19, indeg_thr=round(n^(1/3))=7 (defaults)",367,30,10,0.6,0.834733893557423,0.717366946778711,0.285714285714286,0.00676488876342773,"ok",NA,"2026-08-09 00:30:27"
"WDBC","iForest","ntrees=1000, sample_size=256, seed=1, threshold=0.55",367,30,10,0.5,0.977591036414566,0.738795518207283,0.471698113207547,0.00469803810119629,"ok",NA,"2026-08-09 00:30:27"
"pima","LOF","MinPts=11..30, max over k, threshold=1.5",555,8,55,0.0909090909090909,0.938,0.514454545454545,0.09765625,0.115021944046021,"ok",NA,"2026-08-09 00:30:27"
