"dataset","method","F2","BA","TPR","TNR","group"
"hepatitis","U-MCCD",0.278,0.598,0.286,0.91,"original"
"hepatitis","SU-MCCD",0.286,0.606,0.286,0.925,"original"
"hepatitis","UN-MCCD",0.446,0.686,0.714,0.657,"original"
"hepatitis","SUN-MCCD",0.446,0.686,0.714,0.657,"original"
"hepatitis","LOF",0,0.493,0,0.985,"original"
"hepatitis","DBSCAN",0,0.478,0,0.955,"original"
"hepatitis","MST",0.375,0.647,0.429,0.866,"original"
"hepatitis","ODIN",0.312,0.587,0.429,0.746,"original"
"hepatitis","iForest",0.122,0.482,0.143,0.821,"original"
"glass","U-MCCD",0.283,0.721,1,0.441,"original"
"glass","SU-MCCD",0.385,0.824,1,0.647,"original"
"glass","UN-MCCD",0.116,0.493,0.222,0.765,"original"
"glass","SUN-MCCD",0.324,0.77,1,0.539,"original"
"glass","LOF",0.412,0.786,0.778,0.794,"original"
"glass","DBSCAN",0.122,0.546,0.111,0.98,"original"
"glass","MST",0.286,0.679,0.667,0.691,"original"
"glass","ODIN",0.205,0.583,0.333,0.833,"original"
"glass","iForest",0.1,0.524,0.111,0.936,"original"
"vertebral","U-MCCD",0.311,0.536,0.433,0.638,"original"
"vertebral","SU-MCCD",0.14,0.388,0.2,0.576,"original"
"vertebral","UN-MCCD",0.036,0.474,0.033,0.914,"original"
"vertebral","SUN-MCCD",0.109,0.514,0.1,0.929,"original"
"vertebral","LOF",0.038,0.488,0.033,0.943,"original"
"vertebral","DBSCAN",0,0.469,0,0.938,"original"
"vertebral","MST",0.282,0.531,0.367,0.695,"original"
"vertebral","ODIN",0.159,0.507,0.167,0.848,"original"
"vertebral","iForest",0,0.479,0,0.957,"original"
"ecoli","U-MCCD",0.235,0.77,0.875,0.665,"original"
"ecoli","SU-MCCD",0.321,0.831,0.875,0.787,"original"
"ecoli","UN-MCCD",0.238,0.773,0.875,0.671,"original"
"ecoli","SUN-MCCD",0.333,0.837,0.875,0.799,"original"
"ecoli","LOF",0.492,0.84,0.75,0.93,"original"
"ecoli","DBSCAN",0.152,0.562,0.125,1,"original"
"ecoli","MST",0.186,0.71,0.875,0.546,"original"
"ecoli","ODIN",0.294,0.739,0.625,0.854,"original"
"ecoli","iForest",0.638,0.861,0.75,0.973,"original"
"stamps","U-MCCD",0.072,0.511,0.065,0.958,"original"
"stamps","SU-MCCD",0.376,0.584,1,0.168,"original"
"stamps","UN-MCCD",0.381,0.648,0.484,0.812,"original"
"stamps","SUN-MCCD",0.455,0.7,0.516,0.883,"original"
"stamps","LOF",0.162,0.54,0.161,0.919,"original"
"stamps","DBSCAN",0.144,0.547,0.129,0.964,"original"
"stamps","MST",0.373,0.606,0.774,0.437,"original"
"stamps","ODIN",0.262,0.582,0.29,0.874,"original"
"stamps","iForest",0.108,0.529,0.097,0.961,"original"
"vowels","U-MCCD",0.196,0.664,1,0.327,"original"
"vowels","SU-MCCD",0.193,0.658,1,0.317,"original"
"vowels","UN-MCCD",0.263,0.771,1,0.541,"original"
"vowels","SUN-MCCD",0.267,0.77,0.978,0.563,"original"
"vowels","LOF",0.364,0.667,0.348,0.986,"original"
"vowels","DBSCAN",0.249,0.606,0.217,0.995,"original"
"vowels","MST",0.153,0.553,0.761,0.344,"original"
"vowels","ODIN",0.427,0.756,0.587,0.925,"original"
"vowels","iForest",0.027,0.51,0.022,0.999,"original"
"waveform","U-MCCD",0.252,0.728,0.77,0.685,"original"
"waveform","SU-MCCD",0.219,0.641,0.47,0.812,"original"
"waveform","UN-MCCD",0.186,0.62,0.54,0.701,"original"
"waveform","SUN-MCCD",0.228,0.62,0.32,0.92,"original"
"waveform","LOF",0,0.5,0,1,"original"
"waveform","DBSCAN",0.095,0.538,0.08,0.996,"original"
"waveform","MST",0.13,0.548,0.19,0.906,"original"
"waveform","ODIN",0.193,0.607,0.37,0.844,"original"
"waveform","iForest",0,0.5,0,0.999,"original"
"wilt","U-MCCD",0.336,0.696,0.763,0.63,"original"
"wilt","SU-MCCD",0.182,0.54,0.296,0.785,"original"
"wilt","UN-MCCD",0.118,0.519,0.14,0.898,"original"
"wilt","SUN-MCCD",0.206,0.555,0.366,0.745,"original"
"wilt","LOF",0.022,0.499,0.019,0.979,"original"
"wilt","DBSCAN",0,0.479,0,0.959,"original"
"wilt","MST",0.232,0.537,0.946,0.129,"original"
"wilt","ODIN",0.069,0.519,0.062,0.976,"original"
"wilt","iForest",0.004,0.479,0.004,0.953,"original"
"lymphography","U-MCCD",0.682,0.951,1,0.901,"new"
"lymphography","SU-MCCD",0.732,0.961,1,0.923,"new"
"lymphography","UN-MCCD",0.6,0.93,1,0.859,"new"
"lymphography","SUN-MCCD",0.638,0.94,1,0.88,"new"
"lymphography","LOF",0.667,0.826,0.667,0.986,"new"
