"dataset","method","variant","params","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","t_total","status","note","timestamp"
"hepatitis","DBSCAN","knee-4","minPts=4, eps=5.4781 (knee of 4-dist curve, input=X)",74,19,0.142857142857143,0.955223880597015,0.549040511727079,0.15625,0,0.955,0.478,0,0.15625,FALSE,0.0136909484863281,"ok",NA,"2026-08-08 21:49:40"
"hepatitis","DBSCAN","knee-5","minPts=5, eps=5.3374 (knee of 5-dist curve, input=X)",74,19,0.142857142857143,0.940298507462687,0.541577825159915,0.151515151515151,0,0.955,0.478,0,0.151515151515151,FALSE,0.00203800201416016,"ok",NA,"2026-08-08 21:49:40"
"hepatitis","DBSCAN","fixed-q05","minPts=4, eps=6.3122 (quantile(4-dist,0.95), input=X)",74,19,0,0.985074626865672,0.492537313432836,0,0,0.955,0.478,0,0.0300746268656716,FALSE,0.000814914703369141,"ok",NA,"2026-08-08 21:49:40"
"hepatitis","DBSCAN","oracle-X","minPts=4, eps=5.6473 (quantile(4-dist, 1-n0/n=0.9054), input=X)",74,19,0,0.955223880597015,0.477611940298507,0,0,0.955,0.478,0,0.000388059701492527,TRUE,0.000361919403076172,"ok","REFERENCE: isolates the oracle eps from the df->X label leak","2026-08-08 21:49:40"
"hepatitis","DBSCAN","published-exact","minPts=4, eps=5.7031 (quantile(4-dist, 1-n0/n=0.9054), input=cbind(X,Y))",74,19,0,0.955223880597015,0.477611940298507,0,0,0.955,0.478,0,0.000388059701492527,TRUE,0.00458908081054688,"ok","REFERENCE: reproduces the published driver's label leak (Real_Data_DBSCAN.R:24)","2026-08-08 21:49:40"
"hepatitis","MST","default","cont=0.04, thresh=2 (MST_Outlier() function's own defaults)",74,19,0.142857142857143,0.985074626865672,0.563965884861407,0.166666666666667,0.429,0.866,0.647,0.375,0.286142857142857,FALSE,0.0277600288391113,"ok",NA,"2026-08-08 21:49:40"
"hepatitis","MST","uniform-1.2","cont=0.02, thresh=1.2 (uniform across all 8 datasets, no per-dataset override)",74,19,0.428571428571429,0.865671641791045,0.647121535181237,0.375,0.429,0.866,0.647,0.375,0.000428571428571445,TRUE,0.0135149955749512,"ok",NA,"2026-08-08 21:49:40"
"hepatitis","MST","published-exact","cont=0.02, thresh=1.20 (per-dataset published value)",74,19,0.428571428571429,0.865671641791045,0.647121535181237,0.375,0.429,0.866,0.647,0.375,0.000428571428571445,TRUE,0.0248620510101318,"ok","REFERENCE: reproduces the published per-dataset thresh","2026-08-08 21:49:40"
"hepatitis","ODIN","default","k=round(sqrt(n))=9, indegree_threshold=round(n^(1/3))=4",74,19,0.428571428571429,0.746268656716418,0.587420042643923,0.3125,0.429,0.746,0.587,0.313,5e-04,FALSE,0.00441789627075195,"ok",NA,"2026-08-08 21:49:40"
"glass","DBSCAN","knee-4","minPts=4, eps=1.7547 (knee of 4-dist curve, input=X)",213,9,0.333333333333333,0.877450980392157,0.605392156862745,0.234375,0,0.98,0.49,0,0.333333333333333,FALSE,0.0122411251068115,"ok",NA,"2026-08-08 21:49:54"
"glass","DBSCAN","knee-5","minPts=5, eps=1.8829 (knee of 5-dist curve, input=X)",213,9,0.333333333333333,0.882352941176471,0.607843137254902,0.238095238095238,0,0.98,0.49,0,0.333333333333333,FALSE,0.00232791900634766,"ok",NA,"2026-08-08 21:49:54"
"glass","DBSCAN","fixed-q05","minPts=4, eps=3.8624 (quantile(4-dist,0.95), input=X)",213,9,0.111111111111111,0.970588235294118,0.540849673202614,0.116279069767442,0,0.98,0.49,0,0.116279069767442,FALSE,0.00115108489990234,"ok",NA,"2026-08-08 21:49:54"
"glass","DBSCAN","oracle-X","minPts=4, eps=4.0289 (quantile(4-dist, 1-n0/n=0.9577), input=X)",213,9,0.111111111111111,0.980392156862745,0.545751633986928,0.121951219512195,0,0.98,0.49,0,0.121951219512195,FALSE,0.000885009765625,"ok","REFERENCE: isolates the oracle eps from the df->X label leak","2026-08-08 21:49:54"
"glass","DBSCAN","published-exact","minPts=4, eps=4.0289 (quantile(4-dist, 1-n0/n=0.9577), input=cbind(X,Y))",213,9,0.111111111111111,0.980392156862745,0.545751633986928,0.121951219512195,0,0.98,0.49,0,0.121951219512195,FALSE,0.01027512550354,"ok","REFERENCE: reproduces the published driver's label leak (Real_Data_DBSCAN.R:24)","2026-08-08 21:49:54"
"glass","MST","default","cont=0.04, thresh=2 (MST_Outlier() function's own defaults)",213,9,0,0.877450980392157,0.438725490196078,0,0.778,0.662,0.72,0.313,0.778,FALSE,0.0896420478820801,"ok",NA,"2026-08-08 21:49:54"
"glass","MST","uniform-1.2","cont=0.02, thresh=1.2 (uniform across all 8 datasets, no per-dataset override)",213,9,0.666666666666667,0.691176470588235,0.678921568627451,0.285714285714286,0.778,0.662,0.72,0.313,0.111333333333333,FALSE,0.0712141990661621,"ok",NA,"2026-08-08 21:49:54"
"glass","MST","published-exact","cont=0.02, thresh=1.20 (per-dataset published value)",213,9,0.666666666666667,0.691176470588235,0.678921568627451,0.285714285714286,0.778,0.662,0.72,0.313,0.111333333333333,FALSE,0.0821900367736816,"ok","REFERENCE: reproduces the published per-dataset thresh","2026-08-08 21:49:54"
"glass","ODIN","default","k=round(sqrt(n))=15, indegree_threshold=round(n^(1/3))=6",213,9,0.333333333333333,0.833333333333333,0.583333333333333,0.205479452054795,0.111,0.848,0.48,0.074,0.222333333333333,FALSE,0.00821495056152344,"ok",NA,"2026-08-08 21:49:54"
"vertebral","DBSCAN","knee-4","minPts=4, eps=1.8842 (knee of 4-dist curve, input=X)",240,6,0,0.966666666666667,0.483333333333333,0,0,0.943,0.471,0,0.0236666666666667,FALSE,0.0115869045257568,"ok",NA,"2026-08-08 21:50:26"
"vertebral","DBSCAN","knee-5","minPts=5, eps=1.9206 (knee of 5-dist curve, input=X)",240,6,0,0.966666666666667,0.483333333333333,0,0,0.943,0.471,0,0.0236666666666667,FALSE,0.00214600563049316,"ok",NA,"2026-08-08 21:50:26"
"vertebral","DBSCAN","fixed-q05","minPts=4, eps=2.1018 (quantile(4-dist,0.95), input=X)",240,6,0,0.971428571428571,0.485714285714286,0,0,0.943,0.471,0,0.0284285714285715,FALSE,0.00139904022216797,"ok",NA,"2026-08-08 21:50:26"
"vertebral","DBSCAN","oracle-X","minPts=4, eps=1.5053 (quantile(4-dist, 1-n0/n=0.8750), input=X)",240,6,0,0.938095238095238,0.469047619047619,0,0,0.943,0.471,0,0.00490476190476186,FALSE,0.000674962997436523,"ok","REFERENCE: isolates the oracle eps from the df->X label leak","2026-08-08 21:50:26"
"vertebral","DBSCAN","published-exact","minPts=4, eps=1.5543 (quantile(4-dist, 1-n0/n=0.8750), input=cbind(X,Y))",240,6,0,0.942857142857143,0.471428571428571,0,0,0.943,0.471,0,0.000428571428571445,TRUE,0.0111639499664307,"ok","REFERENCE: reproduces the published driver's label leak (Real_Data_DBSCAN.R:24)","2026-08-08 21:50:26"
"vertebral","MST","default","cont=0.04, thresh=2 (MST_Outlier() function's own defaults)",240,6,0.0333333333333333,0.971428571428571,0.502380952380952,0.0393700787401575,0.367,0.695,0.531,0.282,0.333666666666667,FALSE,0.106928110122681,"ok",NA,"2026-08-08 21:50:26"
"vertebral","MST","uniform-1.2","cont=0.02, thresh=1.2 (uniform across all 8 datasets, no per-dataset override)",240,6,0.366666666666667,0.695238095238095,0.530952380952381,0.282051282051282,0.367,0.695,0.531,0.282,0.000333333333333352,TRUE,0.0900168418884277,"ok",NA,"2026-08-08 21:50:26"
"vertebral","MST","published-exact","cont=0.02, thresh=1.20 (per-dataset published value)",240,6,0.366666666666667,0.695238095238095,0.530952380952381,0.282051282051282,0.367,0.695,0.531,0.282,0.000333333333333352,TRUE,0.0973248481750488,"ok","REFERENCE: reproduces the published per-dataset thresh","2026-08-08 21:50:26"
"vertebral","ODIN","default","k=round(sqrt(n))=15, indegree_threshold=round(n^(1/3))=6",240,6,0.166666666666667,0.847619047619048,0.507142857142857,0.159235668789809,0.167,0.848,0.507,0.159,0.000380952380952371,TRUE,0.005950927734375,"ok",NA,"2026-08-08 21:50:26"
"ecoli","DBSCAN","knee-4","minPts=4, eps=0.1944 (knee of 4-dist curve, input=X)",336,7,0.25,0.945121951219512,0.597560975609756,0.192307692307692,0,0.988,0.494,0,0.25,FALSE,0.0131900310516357,"ok",NA,"2026-08-08 21:50:35"
"ecoli","DBSCAN","knee-5","minPts=5, eps=0.2276 (knee of 5-dist curve, input=X)",336,7,0.75,0.963414634146341,0.856707317073171,0.6,0,0.988,0.494,0,0.75,FALSE,0.00225210189819336,"ok",NA,"2026-08-08 21:50:35"
"ecoli","DBSCAN","fixed-q05","minPts=4, eps=0.3176 (quantile(4-dist,0.95), input=X)",336,7,0.25,0.984756097560976,0.617378048780488,0.256410256410256,0,0.988,0.494,0,0.256410256410256,FALSE,0.00170993804931641,"ok",NA,"2026-08-08 21:50:35"
"ecoli","DBSCAN","oracle-X","minPts=4, eps=0.3952 (quantile(4-dist, 1-n0/n=0.9762), input=X)",336,7,0.125,1,0.5625,0.151515151515152,0,0.988,0.494,0,0.151515151515152,FALSE,0.00115203857421875,"ok","REFERENCE: isolates the oracle eps from the df->X label leak","2026-08-08 21:50:35"
"ecoli","DBSCAN","published-exact","minPts=4, eps=0.5417 (quantile(4-dist, 1-n0/n=0.9762), input=cbind(X,Y))",336,7,0.375,0.996951219512195,0.685975609756098,0.416666666666667,0,0.988,0.494,0,0.416666666666667,FALSE,0.0124349594116211,"ok","REFERENCE: reproduces the published driver's label leak (Real_Data_DBSCAN.R:24)","2026-08-08 21:50:35"
"ecoli","MST","default","cont=0.04, thresh=2 (MST_Outlier() function's own defaults)",336,7,0.75,0.954268292682927,0.852134146341463,0.566037735849056,0.875,0.546,0.71,0.186,0.408268292682927,FALSE,0.181985855102539,"ok",NA,"2026-08-08 21:50:35"
"ecoli","MST","uniform-1.2","cont=0.02, thresh=1.2 (uniform across all 8 datasets, no per-dataset override)",336,7,0.875,0.545731707317073,0.710365853658537,0.186170212765957,0.875,0.546,0.71,0.186,0.000365853658536697,TRUE,0.167958974838257,"ok",NA,"2026-08-08 21:50:35"
"ecoli","MST","published-exact","cont=0.02, thresh=1.20 (per-dataset published value)",336,7,0.875,0.545731707317073,0.710365853658537,0.186170212765957,0.875,0.546,0.71,0.186,0.000365853658536697,TRUE,0.164087057113647,"ok","REFERENCE: reproduces the published per-dataset thresh","2026-08-08 21:50:36"
"ecoli","ODIN","default","k=round(sqrt(n))=18, indegree_threshold=round(n^(1/3))=7",336,7,0.625,0.853658536585366,0.739329268292683,0.294117647058824,0.75,0.857,0.803,0.353,0.125,FALSE,0.00829291343688965,"ok",NA,"2026-08-08 21:50:36"
"stamps","DBSCAN","knee-4","minPts=4, eps=0.3099 (knee of 4-dist curve, input=X)",340,9,0.129032258064516,0.97411003236246,0.551571145213488,0.147058823529412,0.161,0.955,0.557,0.178,0.0319677419354839,FALSE,0.0131900310516357,"ok",NA,"2026-08-08 21:51:42"
"stamps","DBSCAN","knee-5","minPts=5, eps=0.3297 (knee of 5-dist curve, input=X)",340,9,0.129032258064516,0.970873786407767,0.549953022236142,0.145985401459854,0.161,0.955,0.557,0.178,0.032014598540146,FALSE,0.00240087509155273,"ok",NA,"2026-08-08 21:51:42"
"stamps","DBSCAN","fixed-q05","minPts=4, eps=0.3654 (quantile(4-dist,0.95), input=X)",340,9,0.0967741935483871,0.977346278317152,0.53706023593277,0.111940298507463,0.161,0.955,0.557,0.178,0.0660597014925373,FALSE,0.00158190727233887,"ok",NA,"2026-08-08 21:51:42"
"stamps","DBSCAN","oracle-X","minPts=4, eps=0.2928 (quantile(4-dist, 1-n0/n=0.9088), input=X)",340,9,0.129032258064516,0.964401294498382,0.546716776281449,0.143884892086331,0.161,0.955,0.557,0.178,0.0341151079136691,FALSE,0.00100111961364746,"ok","REFERENCE: isolates the oracle eps from the df->X label leak","2026-08-08 21:51:42"
"stamps","DBSCAN","published-exact","minPts=4, eps=0.3141 (quantile(4-dist, 1-n0/n=0.9088), input=cbind(X,Y))",340,9,0.161290322580645,0.954692556634304,0.557991439607475,0.174825174825175,0.161,0.955,0.557,0.178,0.0031748251748252,FALSE,0.0119409561157227,"ok","REFERENCE: reproduces the published driver's label leak (Real_Data_DBSCAN.R:24)","2026-08-08 21:51:42"
"stamps","MST","default","cont=0.04, thresh=2 (MST_Outlier() function's own defaults)",340,9,0.193548387096774,0.967637540453074,0.580592963774924,0.214285714285714,0.774,0.437,0.606,0.373,0.580451612903226,FALSE,0.17960000038147,"ok",NA,"2026-08-08 21:51:42"
"stamps","MST","uniform-1.2","cont=0.02, thresh=1.2 (uniform across all 8 datasets, no per-dataset override)",340,9,0.774193548387097,0.436893203883495,0.605543376135296,0.372670807453416,0.774,0.437,0.606,0.373,0.00045662386470402,TRUE,0.162276983261108,"ok",NA,"2026-08-08 21:51:42"
"stamps","MST","published-exact","cont=0.02, thresh=1.20 (per-dataset published value)",340,9,0.774193548387097,0.436893203883495,0.605543376135296,0.372670807453416,0.774,0.437,0.606,0.373,0.00045662386470402,TRUE,0.165143013000488,"ok","REFERENCE: reproduces the published per-dataset thresh","2026-08-08 21:51:43"
"stamps","ODIN","default","k=round(sqrt(n))=18, indegree_threshold=round(n^(1/3))=7",340,9,0.290322580645161,0.87378640776699,0.582054494206076,0.261627906976744,0.29,0.874,0.582,0.262,0.000372093023255804,TRUE,0.00853300094604492,"ok",NA,"2026-08-08 21:51:43"
"vowels","DBSCAN","knee-4","minPts=4, eps=1.6760 (knee of 4-dist curve, input=X)",1452,12,0.717391304347826,0.980796586059744,0.849093945203785,0.676229508196721,0.304,0.996,0.65,0.343,0.413391304347826,FALSE,0.0232288837432861,"ok",NA,"2026-08-08 21:51:56"
"vowels","DBSCAN","knee-5","minPts=5, eps=1.6695 (knee of 5-dist curve, input=X)",1452,12,0.804347826086957,0.966571834992888,0.885459830539922,0.690298507462687,0.304,0.996,0.65,0.343,0.500347826086956,FALSE,0.0143661499023438,"ok",NA,"2026-08-08 21:51:56"
"vowels","DBSCAN","fixed-q05","minPts=4, eps=2.0235 (quantile(4-dist,0.95), input=X)",1452,12,0.347826086956522,0.994310099573257,0.67106809326489,0.384615384615385,0.304,0.996,0.65,0.343,0.0438260869565217,FALSE,0.0168218612670898,"ok",NA,"2026-08-08 21:51:56"
"vowels","DBSCAN","oracle-X","minPts=4, eps=2.1433 (quantile(4-dist, 1-n0/n=0.9683), input=X)",1452,12,0.217391304347826,0.9950213371266,0.606206320737213,0.248756218905473,0.304,0.996,0.65,0.343,0.0942437810945274,FALSE,0.0175628662109375,"ok","REFERENCE: isolates the oracle eps from the df->X label leak","2026-08-08 21:51:56"
"vowels","DBSCAN","published-exact","minPts=4, eps=2.2359 (quantile(4-dist, 1-n0/n=0.9683), input=cbind(X,Y))",1452,12,0.304347826086957,0.995732574679943,0.65004020038345,0.343137254901961,0.304,0.996,0.65,0.343,0.000347826086956549,TRUE,0.172948122024536,"ok","REFERENCE: reproduces the published driver's label leak (Real_Data_DBSCAN.R:24)","2026-08-08 21:51:56"
"vowels","MST","default","cont=0.04, thresh=2 (MST_Outlier() function's own defaults)",1452,12,0.0869565217391304,0.969416785206259,0.528186653472695,0.0865800865800866,0.652,0.553,0.603,0.178,0.56504347826087,FALSE,3.48416686058044,"ok",NA,"2026-08-08 21:51:59"
"vowels","MST","uniform-1.2","cont=0.02, thresh=1.2 (uniform across all 8 datasets, no per-dataset override)",1452,12,0.760869565217391,0.344238975817923,0.552554270517657,0.153374233128834,0.652,0.553,0.603,0.178,0.208761024182077,FALSE,3.35722398757935,"ok",NA,"2026-08-08 21:52:03"
"vowels","MST","published-exact","cont=0.02, thresh=1.30 (per-dataset published value)",1452,12,0.652173913043478,0.553342816500711,0.602758364772095,0.178147268408551,0.652,0.553,0.603,0.178,0.000342816500711218,TRUE,3.32360982894897,"ok","REFERENCE: reproduces the published per-dataset thresh","2026-08-08 21:52:06"
"vowels","ODIN","default","k=round(sqrt(n))=38, indegree_threshold=round(n^(1/3))=11",1452,12,0.58695652173913,0.925320056899004,0.756138289319067,0.427215189873418,0.587,0.925,0.756,0.427,0.000320056899004273,TRUE,0.177731990814209,"ok",NA,"2026-08-08 21:52:06"
"waveform","DBSCAN","knee-4","minPts=4, eps=3.2997 (knee of 4-dist curve, input=X)",3443,21,0.18,0.968591085851032,0.574295542925516,0.172084130019121,0.09,0.996,0.543,0.107,0.09,FALSE,0.207562923431396,"ok",NA,"2026-08-08 21:52:17"
"waveform","DBSCAN","knee-5","minPts=5, eps=3.3253 (knee of 5-dist curve, input=X)",3443,21,0.17,0.970086748429554,0.570043374214777,0.164410058027079,0.09,0.996,0.543,0.107,0.08,FALSE,0.198576927185059,"ok",NA,"2026-08-08 21:52:17"
"waveform","DBSCAN","fixed-q05","minPts=4, eps=3.5111 (quantile(4-dist,0.95), input=X)",3443,21,0.1,0.992222554591684,0.546111277295842,0.114678899082569,0.09,0.996,0.543,0.107,0.01,FALSE,0.226874113082886,"ok",NA,"2026-08-08 21:52:17"
"waveform","DBSCAN","oracle-X","minPts=4, eps=3.6136 (quantile(4-dist, 1-n0/n=0.9710), input=X)",3443,21,0.08,0.996111277295842,0.538055638647921,0.0950118764845605,0.09,0.996,0.543,0.107,0.0119881235154395,FALSE,0.225921154022217,"ok","REFERENCE: isolates the oracle eps from the df->X label leak","2026-08-08 21:52:17"
"waveform","DBSCAN","published-exact","minPts=4, eps=3.6175 (quantile(4-dist, 1-n0/n=0.9710), input=cbind(X,Y))",3443,21,0.09,0.996111277295842,0.543055638647921,0.106635071090047,0.09,0.996,0.543,0.107,0.000364928909952655,TRUE,1.11928296089172,"ok","REFERENCE: reproduces the published driver's label leak (Real_Data_DBSCAN.R:24)","2026-08-08 21:52:18"
"waveform","MST","default","cont=0.04, thresh=2 (MST_Outlier() function's own defaults)",3443,21,0,1,0.5,0,0.67,0.484,0.577,0.153,0.67,FALSE,20.7221190929413,"ok",NA,"2026-08-08 21:52:39"
"waveform","MST","uniform-1.2","cont=0.02, thresh=1.2 (uniform across all 8 datasets, no per-dataset override)",3443,21,0.19,0.9060723900688,0.5480361950344,0.129604365620737,0.67,0.484,0.577,0.153,0.48,FALSE,18.8875160217285,"ok",NA,"2026-08-08 21:52:58"
