"dataset","method","s_min","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","quant_label","t_total","status","note","timestamp"
"lymphography","U-MCCD",NA,148,18,1,0.901408450704225,0.950704225352113,0.681818181818182,NA,NA,NA,NA,NA,FALSE,"999",17.4489531517029,"ok",NA,"2026-08-09 00:30:31"
"lymphography","SU-MCCD",0.0625,148,18,1,0.922535211267606,0.961267605633803,0.731707317073171,NA,NA,NA,NA,NA,FALSE,"999",2.1655969619751,"ok",NA,"2026-08-09 00:30:33"
"lymphography","UN-MCCD",NA,148,18,1,0.859154929577465,0.929577464788732,0.6,NA,NA,NA,NA,NA,FALSE,"99",0.123800992965698,"ok",NA,"2026-08-09 00:30:33"
"lymphography","SUN-MCCD",0.0625,148,18,1,0.880281690140845,0.940140845070423,0.638297872340426,NA,NA,NA,NA,NA,FALSE,"999",0.0804018974304199,"ok",NA,"2026-08-09 00:30:33"
"WBC","U-MCCD",NA,223,9,1,0.492957746478873,0.746478873239437,0.316455696202532,NA,NA,NA,NA,NA,FALSE,"99",3.12042903900146,"ok",NA,"2026-08-09 00:30:36"
"WBC","SU-MCCD",0.0625,223,9,1,0.492957746478873,0.746478873239437,0.316455696202532,NA,NA,NA,NA,NA,FALSE,"99",3.04993891716003,"ok",NA,"2026-08-09 00:30:39"
"WBC","UN-MCCD",NA,223,9,1,0.497652582159624,0.748826291079812,0.318471337579618,NA,NA,NA,NA,NA,FALSE,"95",0.158431053161621,"ok",NA,"2026-08-09 00:30:40"
"WBC","SUN-MCCD",0.0625,223,9,1,0.563380281690141,0.78169014084507,0.34965034965035,NA,NA,NA,NA,NA,FALSE,"95",0.458322048187256,"ok",NA,"2026-08-09 00:30:40"
"WDBC","U-MCCD",NA,367,30,0.5,0.714285714285714,0.607142857142857,0.170068027210884,NA,NA,NA,NA,NA,FALSE,"999",27.3236200809479,"ok",NA,"2026-08-09 00:31:07"
"WDBC","SU-MCCD",0.0625,367,30,1,0.0728291316526611,0.536414565826331,0.131233595800525,NA,NA,NA,NA,NA,FALSE,"999",1.98986792564392,"ok",NA,"2026-08-09 00:31:09"
"WDBC","UN-MCCD",NA,367,30,1,0.182072829131653,0.591036414565826,0.146198830409357,NA,NA,NA,NA,NA,FALSE,"999",0.59863805770874,"ok",NA,"2026-08-09 00:31:10"
"WDBC","SUN-MCCD",0.0625,367,30,1,0.324929971988796,0.662464985994398,0.171821305841924,NA,NA,NA,NA,NA,FALSE,"999",0.351702928543091,"ok",NA,"2026-08-09 00:31:10"
"pima","U-MCCD",NA,555,8,0.6,0.678,0.639,0.398550724637681,NA,NA,NA,NA,NA,FALSE,"99",21.2449140548706,"ok",NA,"2026-08-09 00:31:32"
"pima","SU-MCCD",0.0625,555,8,0.709090909090909,0.744,0.726545454545455,0.503875968992248,NA,NA,NA,NA,NA,FALSE,"99",4.41672205924988,"ok",NA,"2026-08-09 00:31:36"
"pima","UN-MCCD",NA,555,8,0.290909090909091,0.782,0.536454545454546,0.231884057971014,NA,NA,NA,NA,NA,FALSE,"95",1.5110809803009,"ok",NA,"2026-08-09 00:31:38"
"pima","SUN-MCCD",0.0625,555,8,0.890909090909091,0.552,0.721454545454545,0.496957403651116,NA,NA,NA,NA,NA,FALSE,"95",1.13395500183105,"ok",NA,"2026-08-09 00:31:39"
"shuffle","U-MCCD",NA,1013,9,1,0.775,0.8875,0.224137931034483,NA,NA,NA,NA,NA,FALSE,"99",12.8224501609802,"ok",NA,"2026-08-09 00:31:52"
"shuffle","SU-MCCD",0.0625,1013,9,1,0.702,0.851,0.179063360881543,NA,NA,NA,NA,NA,FALSE,"99",8.90119099617004,"ok",NA,"2026-08-09 00:32:01"
"shuffle","UN-MCCD",NA,1013,9,1,0.709,0.8545,0.182584269662921,NA,NA,NA,NA,NA,FALSE,"95",11.543438911438,"ok",NA,"2026-08-09 00:32:12"
"shuffle","SUN-MCCD",0.0625,1013,9,1,0.664,0.832,0.162094763092269,NA,NA,NA,NA,NA,FALSE,"95",5.71339702606201,"ok",NA,"2026-08-09 00:32:18"
