"dataset","method","n","d","min_cls","min_cls_readings","min_cls_units","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","unassigned_rows","quant_used","quant_label","param_source","t_construct","t_total","status","timestamp"
"hepatitis","U-MCCD",74,19,NA,NA,NA,0.285714285714286,0.91044776119403,0.598081023454158,0.277777777777778,0.286,0.881,0.583,0.263,0.0294477611940298,FALSE,0,0.999,"999","quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.222503900527954,0.222503900527954,"ok","2026-08-08 21:45:06"
"hepatitis","SU-MCCD",74,19,0.0472972972972973,"half_contam","proportion",0.285714285714286,0.925373134328358,0.605543710021322,0.285714285714286,0.286,0.925,0.606,0.286,0.000456289978678082,TRUE,0,0.999,"999","quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.0518097877502441,0.0518097877502441,"ok","2026-08-08 21:45:08"
"hepatitis","UN-MCCD",74,19,NA,NA,NA,0.714285714285714,0.656716417910448,0.685501066098081,0.446428571428572,0.714,0.657,0.686,0.446,0.000498933901919019,TRUE,0,0.99,"99","quant=99 (paper default (SM L657-667; == harness nn_quant_for_d(), unchanged))",0.0711460113525391,0.0711460113525391,"ok","2026-08-08 21:45:08"
"hepatitis","SUN-MCCD",74,19,0.0472972972972973,"half_contam","proportion",0.714285714285714,0.656716417910448,0.685501066098081,0.446428571428572,0.714,0.657,0.686,0.446,0.000498933901919019,TRUE,0,0.999,"999","quant=999 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.0296220779418945,0.0296220779418945,"ok","2026-08-08 21:45:08"
"glass","U-MCCD",213,9,NA,NA,NA,1,0.441176470588235,0.720588235294118,0.283018867924528,1,0.363,0.681,0.257,0.0781764705882353,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.293286085128784,0.293286085128784,"ok","2026-08-08 21:45:11"
"glass","SU-MCCD",213,9,0.0211267605633803,"half_contam","proportion",1,0.5,0.75,0.306122448979592,1,0.363,0.681,0.257,0.137,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.272649049758911,0.272649049758911,"ok","2026-08-08 21:45:14"
"glass","UN-MCCD",213,9,NA,NA,NA,0.222222222222222,0.764705882352941,0.493464052287582,0.116279069767442,0.222,0.765,0.493,0.116,0.000464052287581673,TRUE,0,0.95,"95","quant=95 (paper default (SM L657-667; == harness nn_quant_for_d(), unchanged))",0.178789138793945,0.178789138793945,"ok","2026-08-08 21:45:14"
"glass","SUN-MCCD",213,9,0.0211267605633803,"half_contam","proportion",0.222222222222222,0.764705882352941,0.493464052287582,0.116279069767442,1,0.54,0.77,0.324,0.777777777777778,FALSE,0,0.95,"95","quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.171549081802368,0.171549081802368,"ok","2026-08-08 21:45:14"
"vertebral","U-MCCD",240,6,NA,NA,NA,0.433333333333333,0.638095238095238,0.535714285714286,0.311004784688995,0.467,0.643,0.555,0.335,0.0336666666666667,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.510310888290405,0.510310888290405,"ok","2026-08-08 21:45:18"
"vertebral","SU-MCCD",240,6,0.0625,"half_contam","proportion",0.2,0.576190476190476,0.388095238095238,0.13953488372093,0.2,0.576,0.388,0.14,0.000465116279069783,TRUE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.486345052719116,0.486345052719116,"ok","2026-08-08 21:45:22"
"vertebral","UN-MCCD",240,6,NA,NA,NA,0.0333333333333333,0.914285714285714,0.473809523809524,0.0359712230215827,0.033,0.914,0.474,0.036,0.000333333333333331,TRUE,0,0.95,"95","quant=95 (paper default (SM L657-667; == harness nn_quant_for_d(), unchanged))",0.157186985015869,0.157186985015869,"ok","2026-08-08 21:45:22"
"vertebral","SUN-MCCD",240,6,0.0625,"half_contam","proportion",0.1,0.928571428571429,0.514285714285714,0.108695652173913,0.1,0.928,0.514,0.109,0.000571428571428556,FALSE,0,0.95,"95","quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.172883987426758,0.172883987426758,"ok","2026-08-08 21:45:22"
"ecoli","U-MCCD",336,7,NA,NA,NA,0.875,0.664634146341463,0.769817073170732,0.23489932885906,0.75,0.558,0.654,0.164,0.125,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.716876983642578,0.716876983642578,"ok","2026-08-08 21:45:26"
"ecoli","SU-MCCD",336,7,0.0119047619047619,"half_contam","proportion",0.875,0.780487804878049,0.827743902439024,0.315315315315315,0.75,0.68,0.715,0.21,0.125,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.697073936462402,0.697073936462402,"ok","2026-08-08 21:45:29"
"ecoli","UN-MCCD",336,7,NA,NA,NA,0.875,0.670731707317073,0.772865853658537,0.238095238095238,0.75,0.668,0.709,0.204,0.125,FALSE,0,0.95,"95","quant=95 (paper default (SM L657-667; == harness nn_quant_for_d(), unchanged))",0.392831087112427,0.392831087112427,"ok","2026-08-08 21:45:30"
"ecoli","SUN-MCCD",336,7,0.0119047619047619,"half_contam","proportion",0.875,0.74390243902439,0.809451219512195,0.284552845528455,0.75,0.741,0.745,0.244,0.125,FALSE,0,0.95,"95","quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.392699003219604,0.392699003219604,"ok","2026-08-08 21:45:30"
"stamps","U-MCCD",340,9,NA,NA,NA,0.0645161290322581,0.957928802588997,0.511222465810627,0.0719424460431655,0.065,0.958,0.511,0.072,0.000483870967741939,TRUE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",2.4453330039978,2.4453330039978,"ok","2026-08-08 21:45:35"
"stamps","SU-MCCD",340,9,0.0455882352941176,"half_contam","proportion",1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.714715210355987,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.403753042221069,0.403753042221069,"ok","2026-08-08 21:45:39"
"stamps","UN-MCCD",340,9,NA,NA,NA,0.483870967741935,0.812297734627832,0.648084351184884,0.380710659898477,0.484,0.812,0.648,0.381,0.000297734627831669,TRUE,0,0.95,"95","quant=95 (paper default (SM L657-667; == harness nn_quant_for_d(), unchanged))",0.452517032623291,0.452517032623291,"ok","2026-08-08 21:45:39"
"stamps","SUN-MCCD",340,9,0.0455882352941176,"half_contam","proportion",0.516129032258065,0.883495145631068,0.699812088944566,0.454545454545455,0.516,0.884,0.701,0.457,0.00245454545454543,FALSE,0,0.95,"95","quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.308501958847046,0.308501958847046,"ok","2026-08-08 21:45:39"
"hepatitis","SU-MCCD",74,19,0.0945945945945946,"full_contam","proportion",0.285714285714286,0.925373134328358,0.605543710021322,0.285714285714286,0.286,0.925,0.606,0.286,0.000456289978678082,TRUE,0,0.999,"999","quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.150130033493042,0.150130033493042,"ok","2026-08-08 21:46:25"
"hepatitis","SUN-MCCD",74,19,0.0945945945945946,"full_contam","proportion",0.714285714285714,0.656716417910448,0.685501066098081,0.446428571428572,0.714,0.657,0.686,0.446,0.000498933901919019,TRUE,0,0.999,"999","quant=999 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.0900580883026123,0.0900580883026123,"ok","2026-08-08 21:46:26"
"glass","SU-MCCD",213,9,0.0422535211267606,"full_contam","proportion",1,0.647058823529412,0.823529411764706,0.384615384615385,1,0.363,0.681,0.257,0.284058823529412,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.196285009384155,0.196285009384155,"ok","2026-08-08 21:46:29"
"glass","SUN-MCCD",213,9,0.0422535211267606,"full_contam","proportion",1,0.53921568627451,0.769607843137255,0.323741007194245,1,0.54,0.77,0.324,0.00078431372549026,FALSE,0,0.95,"95","quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.118317127227783,0.118317127227783,"ok","2026-08-08 21:46:29"
"vertebral","SU-MCCD",240,6,0.125,"full_contam","proportion",0.2,0.576190476190476,0.388095238095238,0.13953488372093,0.2,0.576,0.388,0.14,0.000465116279069783,TRUE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.49984884262085,0.49984884262085,"ok","2026-08-08 21:46:32"
"vertebral","SUN-MCCD",240,6,0.125,"full_contam","proportion",0,0.961904761904762,0.480952380952381,0,0.1,0.928,0.514,0.109,0.109,FALSE,0,0.95,"95","quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.134444952011108,0.134444952011108,"ok","2026-08-08 21:46:33"
"ecoli","SU-MCCD",336,7,0.0238095238095238,"full_contam","proportion",0.875,0.780487804878049,0.827743902439024,0.315315315315315,0.75,0.68,0.715,0.21,0.125,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.727718114852905,0.727718114852905,"ok","2026-08-08 21:46:36"
"ecoli","SUN-MCCD",336,7,0.0238095238095238,"full_contam","proportion",0.875,0.74390243902439,0.809451219512195,0.284552845528455,0.75,0.741,0.745,0.244,0.125,FALSE,0,0.95,"95","quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.378984928131104,0.378984928131104,"ok","2026-08-08 21:46:37"
"stamps","SU-MCCD",340,9,0.0911764705882353,"full_contam","proportion",1,0.168284789644013,0.584142394822006,0.37621359223301,0.516,0.883,0.7,0.455,0.714715210355987,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",0.420902967453003,0.420902967453003,"ok","2026-08-08 21:46:40"
"stamps","SUN-MCCD",340,9,0.0911764705882353,"full_contam","proportion",0.516129032258065,0.883495145631068,0.699812088944566,0.454545454545455,0.516,0.884,0.701,0.457,0.00245454545454543,FALSE,0,0.95,"95","quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",0.27168083190918,0.27168083190918,"ok","2026-08-08 21:46:40"
