"dataset","method","variant","params","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","t_total","status","note","timestamp"
"hepatitis","SU-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=1), quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",74,19,0.285714285714286,0.835820895522388,0.560767590618337,0.24390243902439,0.286,0.925,0.606,0.286,0.089179104477612,FALSE,2.38452291488647,"ok",NA,"2026-08-08 21:48:58"
"hepatitis","SU-MCCD","smin=0.02","min.cls=0.02 (proportion of n; round(min.cls*n)=1), quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",74,19,0.285714285714286,0.835820895522388,0.560767590618337,0.24390243902439,0.286,0.925,0.606,0.286,0.089179104477612,FALSE,2.25339102745056,"ok",NA,"2026-08-08 21:49:01"
"hepatitis","SU-MCCD","smin=0.03","min.cls=0.03 (proportion of n; round(min.cls*n)=2), quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",74,19,0.285714285714286,0.835820895522388,0.560767590618337,0.24390243902439,0.286,0.925,0.606,0.286,0.089179104477612,FALSE,2.26731491088867,"ok",NA,"2026-08-08 21:49:03"
"hepatitis","SU-MCCD","smin=0.05","min.cls=0.05 (proportion of n; round(min.cls*n)=4), quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",74,19,0.285714285714286,0.925373134328358,0.605543710021322,0.285714285714286,0.286,0.925,0.606,0.286,0.000456289978678082,TRUE,2.13713598251343,"ok",NA,"2026-08-08 21:49:05"
"hepatitis","SU-MCCD","smin=0.0625","min.cls=0.0625 (proportion of n; round(min.cls*n)=5), quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",74,19,0.285714285714286,0.925373134328358,0.605543710021322,0.285714285714286,0.286,0.925,0.606,0.286,0.000456289978678082,TRUE,2.18477702140808,"ok",NA,"2026-08-08 21:49:07"
"hepatitis","SU-MCCD","smin=0.10","min.cls=0.10 (proportion of n; round(min.cls*n)=7), quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",74,19,0.285714285714286,0.925373134328358,0.605543710021322,0.285714285714286,0.286,0.925,0.606,0.286,0.000456289978678082,TRUE,2.15482497215271,"ok",NA,"2026-08-08 21:49:09"
"hepatitis","SU-MCCD","smin=0.15","min.cls=0.15 (proportion of n; round(min.cls*n)=11), quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",74,19,0.285714285714286,0.925373134328358,0.605543710021322,0.285714285714286,0.286,0.925,0.606,0.286,0.000456289978678082,TRUE,2.11678290367126,"ok",NA,"2026-08-08 21:49:12"
"hepatitis","SU-MCCD","smin=0.20","min.cls=0.20 (proportion of n; round(min.cls*n)=15), quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",74,19,0.285714285714286,0.925373134328358,0.605543710021322,0.285714285714286,0.286,0.925,0.606,0.286,0.000456289978678082,TRUE,2.140869140625,"ok",NA,"2026-08-08 21:49:14"
"hepatitis","SUN-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=1), quant=999 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",74,19,0.714285714285714,0.656716417910448,0.685501066098081,0.446428571428572,0.714,0.657,0.686,0.446,0.000498933901919019,TRUE,0.0892040729522705,"ok",NA,"2026-08-08 21:49:14"
"hepatitis","SUN-MCCD","smin=0.02","min.cls=0.02 (proportion of n; round(min.cls*n)=1), quant=999 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",74,19,0.714285714285714,0.656716417910448,0.685501066098081,0.446428571428572,0.714,0.657,0.686,0.446,0.000498933901919019,TRUE,0.0247888565063477,"ok",NA,"2026-08-08 21:49:14"
