"grid","cell_value","n","d","method","n_reps_ok","mean_t_total","sd_t_total","mean_t_construct","sd_t_construct","mean_seconds","sd_seconds","statuses"
"d",5,500,5,"LOF",10,0.0648,0.0014,NA,NA,0.0654,0.0024,"OK"
"d",5,500,5,"DBSCAN",10,0.0161,0.0012,NA,NA,0.0165,0.0018,"OK"
"d",5,500,5,"MST",10,0.3689,0.0457,NA,NA,0.3692,0.0455,"OK"
"d",5,500,5,"ODIN",10,0.0144,0.0025,NA,NA,0.0147,0.0025,"OK"
"d",5,500,5,"iForest",10,0.054,0.0016,NA,NA,0.0544,0.0019,"OK"
"d",5,500,5,"RKCCD-OOS",10,10.0301,3.8823,9.787,3.6736,24.3682,7.2934,"OK"
"d",5,500,5,"RKCCD-IOS",10,9.9952,3.7396,9.9485,3.8033,23.0833,7.533,"OK"
"d",5,500,5,"UNCCD-OOS",10,1.1614,0.0356,1.1624,0.1038,2.3267,0.1112,"OK"
"d",5,500,5,"UNCCD-IOS",10,1.4112,0.2279,1.1823,0.1803,2.5948,0.2699,"OK"
"d",10,500,10,"LOF",10,0.0976,0.0051,NA,NA,0.0982,0.0062,"OK"
"d",10,500,10,"DBSCAN",10,0.0177,0.0011,NA,NA,0.018,0.0016,"OK"
"d",10,500,10,"MST",10,0.4036,0.0484,NA,NA,0.4038,0.048,"OK"
"d",10,500,10,"ODIN",10,0.0167,0.0021,NA,NA,0.017,0.0023,"OK"
"d",10,500,10,"iForest",10,0.0541,0.002,NA,NA,0.0545,0.0023,"OK"
"d",10,500,10,"RKCCD-OOS",10,2.1176,0.1478,2.0815,0.1507,6.8948,0.2947,"OK"
"d",10,500,10,"RKCCD-IOS",10,2.1247,0.2015,2.1443,0.1611,6.969,0.3556,"OK"
"d",10,500,10,"UNCCD-OOS",10,36.3667,0.1338,36.3272,0.1974,72.6954,0.2827,"OK"
"d",10,500,10,"UNCCD-IOS",10,36.4926,0.1804,36.2389,0.1773,72.7327,0.2682,"OK"
"d",50,500,50,"LOF",10,0.1664,0.0033,NA,NA,0.1669,0.0039,"OK"
"d",50,500,50,"DBSCAN",10,0.0262,0.0011,NA,NA,0.0266,0.0017,"OK"
"d",50,500,50,"MST",10,0.4008,0.0377,NA,NA,0.401,0.0374,"OK"
"d",50,500,50,"ODIN",10,0.0154,0.004,NA,NA,0.0157,0.004,"OK"
"d",50,500,50,"iForest",10,0.0586,0.0046,NA,NA,0.059,0.0047,"OK"
"d",50,500,50,"RKCCD-OOS",10,1.496,0.0453,1.442,0.0449,4.081,0.7202,"OK"
"d",50,500,50,"RKCCD-IOS",10,1.4584,0.063,1.4138,0.0367,3.8038,0.0733,"OK"
"d",50,500,50,"UNCCD-OOS",10,36.5791,0.0962,36.6616,0.2172,73.243,0.2595,"OK"
"d",50,500,50,"UNCCD-IOS",10,36.9071,0.1527,36.5457,0.1083,73.4538,0.1689,"OK"
"d",100,500,100,"LOF",10,0.2682,0.029,NA,NA,0.2688,0.0289,"OK"
"d",100,500,100,"DBSCAN",10,0.0495,0.0011,NA,NA,0.05,0.0018,"OK"
"d",100,500,100,"MST",10,0.4139,0.0303,NA,NA,0.4143,0.0305,"OK"
"d",100,500,100,"ODIN",10,0.0182,0.0049,NA,NA,0.0186,0.005,"OK"
"d",100,500,100,"iForest",10,0.0515,0.0081,NA,NA,0.0518,0.0078,"OK"
"d",100,500,100,"RKCCD-OOS",10,1.4892,0.0445,1.3825,0.0529,3.4619,0.0612,"OK"
"d",100,500,100,"RKCCD-IOS",10,1.4569,0.0438,1.4032,0.0288,3.4463,0.0635,"OK"
"d",100,500,100,"UNCCD-OOS",10,36.4638,0.2718,36.2891,0.1494,72.7553,0.2679,"OK"
"d",100,500,100,"UNCCD-IOS",10,36.8816,0.181,36.1389,0.0711,73.0219,0.1742,"OK"
"d",500,500,500,"LOF",10,1.2414,0.018,NA,NA,1.2421,0.0183,"OK"
"d",500,500,500,"DBSCAN",10,0.1704,0.002,NA,NA,0.1709,0.0025,"OK"
"d",500,500,500,"MST",10,0.544,0.014,NA,NA,0.5443,0.014,"OK"
"d",500,500,500,"ODIN",10,0.0472,0.0045,NA,NA,0.0476,0.0046,"OK"
"d",500,500,500,"iForest",10,0.0624,0.0051,NA,NA,0.0628,0.0051,"OK"
"d",500,500,500,"RKCCD-OOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
"d",500,500,500,"RKCCD-IOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
"d",500,500,500,"UNCCD-OOS",10,36.5243,0.6463,36.1505,0.8555,72.6772,1.3532,"OK;SKIPPED_NO_TABLE"
"d",500,500,500,"UNCCD-IOS",10,36.6729,0.1261,35.7255,0.1957,72.3994,0.2213,"OK;SKIPPED_NO_TABLE"
