"grid","cell_value","n","d","method","n_reps_ok","mean_t_total","sd_t_total","mean_t_construct","sd_t_construct","mean_seconds","sd_seconds","statuses"
"n",100,100,10,"LOF",10,0.0079,0.001,NA,NA,0.0085,0.0025,"OK"
"n",100,100,10,"DBSCAN",10,0.0024,7e-04,NA,NA,0.0027,0.0014,"OK"
"n",100,100,10,"MST",10,0.0222,0.008,NA,NA,0.0225,0.008,"OK"
"n",100,100,10,"ODIN",10,8e-04,0.0011,NA,NA,0.0011,0.0011,"OK"
"n",100,100,10,"iForest",10,0.0148,0.0043,NA,NA,0.0152,0.0044,"OK"
"n",100,100,10,"RKCCD-OOS",10,0.1833,0.0295,0.2094,0.0225,4.2633,3.7156,"OK"
"n",100,100,10,"RKCCD-IOS",10,0.1712,0.0253,0.1871,0.0262,3.0573,0.0334,"OK"
"n",100,100,10,"UNCCD-OOS",10,0.5802,0.1413,0.5591,0.2159,1.1416,0.2111,"OK"
"n",100,100,10,"UNCCD-IOS",10,0.537,0.1256,0.5852,0.1537,1.1243,0.2109,"OK"
"n",250,250,10,"LOF",10,0.0308,9e-04,NA,NA,0.0314,0.0019,"OK"
"n",250,250,10,"DBSCAN",10,0.0067,7e-04,NA,NA,0.0071,0.0014,"OK"
"n",250,250,10,"MST",10,0.092,0.0056,NA,NA,0.0922,0.0056,"OK"
"n",250,250,10,"ODIN",10,0.0022,0.0011,NA,NA,0.0025,0.0012,"OK"
"n",250,250,10,"iForest",10,0.0301,0.003,NA,NA,0.0305,0.0027,"OK"
"n",250,250,10,"RKCCD-OOS",10,0.6652,0.0506,0.6872,0.0535,4.0618,0.0968,"OK"
"n",250,250,10,"RKCCD-IOS",10,0.6589,0.0505,0.6662,0.0585,4.0342,0.0973,"OK"
"n",250,250,10,"UNCCD-OOS",10,2.6002,0.1152,2.6851,0.3532,5.2869,0.3869,"OK"
"n",250,250,10,"UNCCD-IOS",10,2.5496,0.0443,2.5216,0.0578,5.0724,0.0881,"OK"
"n",500,500,10,"LOF",10,0.0959,0.0049,NA,NA,0.0964,0.0059,"OK"
"n",500,500,10,"DBSCAN",10,0.0175,0.0011,NA,NA,0.0178,0.0016,"OK"
"n",500,500,10,"MST",10,0.3666,0.0351,NA,NA,0.3668,0.0348,"OK"
"n",500,500,10,"ODIN",10,0.0106,0.0044,NA,NA,0.0108,0.0046,"OK"
"n",500,500,10,"iForest",10,0.0474,0.007,NA,NA,0.0477,0.0068,"OK"
"n",500,500,10,"RKCCD-OOS",10,2.1094,0.1629,2.1141,0.1482,6.9178,0.3073,"OK"
"n",500,500,10,"RKCCD-IOS",10,2.0847,0.1682,2.0717,0.1729,6.8565,0.3344,"OK"
"n",500,500,10,"UNCCD-OOS",10,35.6915,0.2427,35.7734,0.1371,71.4665,0.3355,"OK"
"n",500,500,10,"UNCCD-IOS",10,35.7552,0.1997,35.5597,0.1681,71.3162,0.2939,"OK"
"n",1000,1000,10,"LOF",10,0.3627,0.0483,NA,NA,0.3632,0.048,"OK"
"n",1000,1000,10,"DBSCAN",10,0.072,0.0069,NA,NA,0.0731,0.0083,"OK"
"n",1000,1000,10,"MST",10,1.7156,0.0457,NA,NA,1.716,0.0461,"OK"
"n",1000,1000,10,"ODIN",10,0.0734,0.0038,NA,NA,0.0738,0.0039,"OK"
"n",1000,1000,10,"iForest",10,0.0964,0.0026,NA,NA,0.0967,0.0028,"OK"
"n",1000,1000,10,"RKCCD-OOS",10,9.2696,0.6019,9.026,0.5269,20.9947,1.0936,"OK"
"n",1000,1000,10,"RKCCD-IOS",10,9.1851,0.4622,9.0974,0.5107,20.9759,0.9396,"OK"
"n",1000,1000,10,"UNCCD-OOS",10,541.8091,0.8954,541.1737,NA,595.9285,170.8448,"OK;OK_NOCONSTRUCT"
"n",1000,1000,10,"UNCCD-IOS",10,547.4878,2.592,543.1358,NA,601.8026,170.8922,"OK;OK_NOCONSTRUCT"
"n",2000,2000,10,"LOF",3,1.1428,0.0271,NA,NA,1.1446,0.0294,"OK"
"n",2000,2000,10,"DBSCAN",3,0.2349,0.0207,NA,NA,0.2358,0.0197,"OK"
"n",2000,2000,10,"MST",3,5.3426,0.3818,NA,NA,5.3433,0.3828,"OK"
"n",2000,2000,10,"ODIN",3,0.2323,0.0085,NA,NA,0.233,0.0088,"OK"
"n",2000,2000,10,"iForest",3,0.1345,0.0032,NA,NA,0.1353,0.0044,"OK"
"n",2000,2000,10,"RKCCD-OOS",3,53.3156,0.8181,53.1324,1.1373,109.0467,1.9775,"OK"
"n",2000,2000,10,"RKCCD-IOS",3,53.7768,0.7368,53.4191,0.3396,109.7847,1.0393,"OK"
"n",2000,2000,10,"UNCCD-OOS",3,9426.9381,50.766,9538.144,NA,12606.3256,5467.0101,"OK;OK_NOCONSTRUCT"
"n",2000,2000,10,"UNCCD-IOS",3,9404.2881,81.1844,9354.8671,NA,12522.581,5327.7765,"OK;OK_NOCONSTRUCT"
