grid,cell_value,n,d,method,n_reps_ok,mean_fit_seconds,sd_fit_seconds,statuses
d,5,500,5,AutoEncoder,10,0.1562,0.0304,OK
d,5,500,5,ECOD,10,0.0007,0.0002,OK
d,5,500,5,LUNAR,10,2.9102,0.1024,OK
d,10,500,10,AutoEncoder,10,0.1887,0.0012,OK
d,10,500,10,ECOD,10,0.0008,0.0002,OK
d,10,500,10,LUNAR,10,2.9479,0.0825,OK
d,50,500,50,AutoEncoder,10,0.1926,0.0025,OK
d,50,500,50,ECOD,10,0.0023,0.0006,OK
d,50,500,50,LUNAR,10,2.9475,0.1176,OK
d,100,500,100,AutoEncoder,10,0.2796,0.3846,OK
d,100,500,100,ECOD,10,0.1487,0.4615,OK
d,100,500,100,LUNAR,10,3.1119,0.9416,OK
d,500,500,500,AutoEncoder,10,0.2381,0.0021,OK
d,500,500,500,ECOD,10,0.0255,0.0029,OK
d,500,500,500,LUNAR,10,3.0789,0.1723,OK
n,100,100,10,AutoEncoder,10,0.0406,0.0011,OK
n,100,100,10,ECOD,10,0.0007,0.0002,OK
n,100,100,10,LUNAR,10,1.2148,0.0997,OK
n,250,250,10,AutoEncoder,10,0.0762,0.0152,OK
n,250,250,10,ECOD,10,0.0007,0.0002,OK
n,250,250,10,LUNAR,10,1.7605,0.0936,OK
n,500,500,10,AutoEncoder,10,0.1879,0.0014,OK
n,500,500,10,ECOD,10,0.0008,0.0002,OK
n,500,500,10,LUNAR,10,2.9121,0.1093,OK
n,1000,1000,10,AutoEncoder,10,0.3878,0.0026,OK
n,1000,1000,10,ECOD,10,0.0013,0.0004,OK
n,1000,1000,10,LUNAR,10,5.0874,0.2647,OK
n,2000,2000,10,AutoEncoder,10,0.6397,0.3223,OK
n,2000,2000,10,ECOD,10,0.1372,0.4285,OK
n,2000,2000,10,LUNAR,10,7.5808,0.7183,OK
