grid,cell_value,n,d,method,n_reps_ok,mean_fit_seconds,sd_fit_seconds,statuses
d,10,1000,10,AutoEncoder,10,0.2736,0.0106,OK
d,10,1000,10,ECOD,10,0.001,0.0,OK
d,10,1000,10,LUNAR,10,3.9905,0.0671,OK
d,50,1000,50,AutoEncoder,10,0.3626,0.0424,OK
d,50,1000,50,ECOD,10,0.0029,0.0001,OK
d,50,1000,50,LUNAR,10,4.7424,0.5295,OK
d,100,1000,100,AutoEncoder,10,0.289,0.0176,OK
d,100,1000,100,ECOD,10,0.0063,0.0009,OK
d,100,1000,100,LUNAR,10,3.9648,0.0884,OK
d,500,1000,500,AutoEncoder,10,0.3408,0.0069,OK
d,500,1000,500,ECOD,10,0.0482,0.0012,OK
d,500,1000,500,LUNAR,10,3.9284,0.072,OK
d,1000,1000,1000,AutoEncoder,10,0.5254,0.3241,OK
d,1000,1000,1000,ECOD,10,0.2424,0.4494,OK
d,1000,1000,1000,LUNAR,10,4.5104,0.7181,OK
n,250,250,20,AutoEncoder,10,0.0648,0.0057,OK
n,250,250,20,ECOD,10,0.0007,0.0,OK
n,250,250,20,LUNAR,10,1.4123,0.0802,OK
n,500,500,20,AutoEncoder,10,0.1288,0.0016,OK
n,500,500,20,ECOD,10,0.0009,0.0001,OK
n,500,500,20,LUNAR,10,2.1738,0.0806,OK
n,1000,1000,20,AutoEncoder,10,0.3576,0.0397,OK
n,1000,1000,20,ECOD,10,0.0027,0.0003,OK
n,1000,1000,20,LUNAR,10,4.9867,0.2324,OK
n,2000,2000,20,AutoEncoder,10,0.5498,0.0161,OK
n,2000,2000,20,ECOD,10,0.0044,0.0001,OK
n,2000,2000,20,LUNAR,10,7.9405,1.0409,OK
n,4000,4000,20,AutoEncoder,10,1.0808,0.0154,OK
n,4000,4000,20,ECOD,10,0.0045,0.0002,OK
n,4000,4000,20,LUNAR,10,14.6109,0.1414,OK
