grid,cell_value,n,d,method,rep,seed,fit_seconds,status,timestamp
d,1000,1000,1000,ECOD,1,1,1.5214,OK,2026-07-12 07:14:03
d,1000,1000,1000,ECOD,2,2,0.098,OK,2026-07-12 07:14:03
d,1000,1000,1000,ECOD,3,3,0.1015,OK,2026-07-12 07:14:03
d,1000,1000,1000,ECOD,4,4,0.0981,OK,2026-07-12 07:14:03
d,1000,1000,1000,ECOD,5,5,0.099,OK,2026-07-12 07:14:03
d,1000,1000,1000,ECOD,6,6,0.0998,OK,2026-07-12 07:14:03
d,1000,1000,1000,ECOD,7,7,0.1025,OK,2026-07-12 07:14:03
d,1000,1000,1000,ECOD,8,8,0.1045,OK,2026-07-12 07:14:04
d,1000,1000,1000,ECOD,9,9,0.1006,OK,2026-07-12 07:14:04
d,1000,1000,1000,ECOD,10,10,0.0987,OK,2026-07-12 07:14:04
d,1000,1000,1000,LUNAR,1,1,6.5198,OK,2026-07-12 07:14:10
d,1000,1000,1000,LUNAR,2,2,4.1519,OK,2026-07-12 07:14:15
d,1000,1000,1000,LUNAR,3,3,4.327,OK,2026-07-12 07:14:19
d,1000,1000,1000,LUNAR,4,4,4.4662,OK,2026-07-12 07:14:23
d,1000,1000,1000,LUNAR,5,5,4.3911,OK,2026-07-12 07:14:28
d,1000,1000,1000,LUNAR,6,6,4.401,OK,2026-07-12 07:14:32
d,1000,1000,1000,LUNAR,7,7,4.372,OK,2026-07-12 07:14:37
d,1000,1000,1000,LUNAR,8,8,4.2336,OK,2026-07-12 07:14:41
d,1000,1000,1000,LUNAR,9,9,4.2007,OK,2026-07-12 07:14:45
d,1000,1000,1000,LUNAR,10,10,4.0405,OK,2026-07-12 07:14:49
d,1000,1000,1000,AutoEncoder,1,1,1.4473,OK,2026-07-12 07:14:51
d,1000,1000,1000,AutoEncoder,2,2,0.4145,OK,2026-07-12 07:14:51
d,1000,1000,1000,AutoEncoder,3,3,0.4327,OK,2026-07-12 07:14:51
d,1000,1000,1000,AutoEncoder,4,4,0.4349,OK,2026-07-12 07:14:52
d,1000,1000,1000,AutoEncoder,5,5,0.4146,OK,2026-07-12 07:14:52
d,1000,1000,1000,AutoEncoder,6,6,0.4416,OK,2026-07-12 07:14:53
d,1000,1000,1000,AutoEncoder,7,7,0.4188,OK,2026-07-12 07:14:53
d,1000,1000,1000,AutoEncoder,8,8,0.4199,OK,2026-07-12 07:14:54
d,1000,1000,1000,AutoEncoder,9,9,0.4134,OK,2026-07-12 07:14:54
d,1000,1000,1000,AutoEncoder,10,10,0.4167,OK,2026-07-12 07:14:54
d,100,1000,100,ECOD,1,1,0.0089,OK,2026-07-12 07:14:54
d,100,1000,100,ECOD,2,2,0.0058,OK,2026-07-12 07:14:54
d,100,1000,100,ECOD,3,3,0.006,OK,2026-07-12 07:14:55
d,100,1000,100,ECOD,4,4,0.0058,OK,2026-07-12 07:14:55
d,100,1000,100,ECOD,5,5,0.0058,OK,2026-07-12 07:14:55
d,100,1000,100,ECOD,6,6,0.0059,OK,2026-07-12 07:14:55
d,100,1000,100,ECOD,7,7,0.0061,OK,2026-07-12 07:14:55
d,100,1000,100,ECOD,8,8,0.006,OK,2026-07-12 07:14:55
d,100,1000,100,ECOD,9,9,0.0064,OK,2026-07-12 07:14:55
d,100,1000,100,ECOD,10,10,0.0059,OK,2026-07-12 07:14:55
d,100,1000,100,LUNAR,1,1,3.83,OK,2026-07-12 07:14:58
d,100,1000,100,LUNAR,2,2,4.0878,OK,2026-07-12 07:15:03
d,100,1000,100,LUNAR,3,3,3.9854,OK,2026-07-12 07:15:07
d,100,1000,100,LUNAR,4,4,3.9725,OK,2026-07-12 07:15:11
d,100,1000,100,LUNAR,5,5,3.8862,OK,2026-07-12 07:15:14
d,100,1000,100,LUNAR,6,6,3.9486,OK,2026-07-12 07:15:18
d,100,1000,100,LUNAR,7,7,3.8383,OK,2026-07-12 07:15:22
d,100,1000,100,LUNAR,8,8,4.037,OK,2026-07-12 07:15:26
d,100,1000,100,LUNAR,9,9,4.0245,OK,2026-07-12 07:15:30
d,100,1000,100,LUNAR,10,10,4.0382,OK,2026-07-12 07:15:34
d,100,1000,100,AutoEncoder,1,1,0.2875,OK,2026-07-12 07:15:35
d,100,1000,100,AutoEncoder,2,2,0.274,OK,2026-07-12 07:15:35
d,100,1000,100,AutoEncoder,3,3,0.2805,OK,2026-07-12 07:15:35
d,100,1000,100,AutoEncoder,4,4,0.3191,OK,2026-07-12 07:15:36
d,100,1000,100,AutoEncoder,5,5,0.2878,OK,2026-07-12 07:15:36
d,100,1000,100,AutoEncoder,6,6,0.2823,OK,2026-07-12 07:15:36
d,100,1000,100,AutoEncoder,7,7,0.3209,OK,2026-07-12 07:15:36
d,100,1000,100,AutoEncoder,8,8,0.2788,OK,2026-07-12 07:15:37
d,100,1000,100,AutoEncoder,9,9,0.2902,OK,2026-07-12 07:15:37
d,100,1000,100,AutoEncoder,10,10,0.2687,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,1,1,0.0011,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,2,2,0.0011,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,3,3,0.001,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,4,4,0.001,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,5,5,0.001,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,6,6,0.001,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,7,7,0.001,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,8,8,0.001,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,9,9,0.001,OK,2026-07-12 07:15:37
d,10,1000,10,ECOD,10,10,0.001,OK,2026-07-12 07:15:37
d,10,1000,10,LUNAR,1,1,3.8689,OK,2026-07-12 07:15:41
d,10,1000,10,LUNAR,2,2,3.9778,OK,2026-07-12 07:15:45
d,10,1000,10,LUNAR,3,3,4.0608,OK,2026-07-12 07:15:49
d,10,1000,10,LUNAR,4,4,3.9399,OK,2026-07-12 07:15:53
d,10,1000,10,LUNAR,5,5,4.0176,OK,2026-07-12 07:15:57
d,10,1000,10,LUNAR,6,6,3.945,OK,2026-07-12 07:16:01
d,10,1000,10,LUNAR,7,7,3.9533,OK,2026-07-12 07:16:05
d,10,1000,10,LUNAR,8,8,4.0639,OK,2026-07-12 07:16:09
d,10,1000,10,LUNAR,9,9,3.9956,OK,2026-07-12 07:16:13
d,10,1000,10,LUNAR,10,10,4.0823,OK,2026-07-12 07:16:17
d,10,1000,10,AutoEncoder,1,1,0.2992,OK,2026-07-12 07:16:18
d,10,1000,10,AutoEncoder,2,2,0.2694,OK,2026-07-12 07:16:18
d,10,1000,10,AutoEncoder,3,3,0.2681,OK,2026-07-12 07:16:18
d,10,1000,10,AutoEncoder,4,4,0.2664,OK,2026-07-12 07:16:19
d,10,1000,10,AutoEncoder,5,5,0.2687,OK,2026-07-12 07:16:19
d,10,1000,10,AutoEncoder,6,6,0.2804,OK,2026-07-12 07:16:19
d,10,1000,10,AutoEncoder,7,7,0.2691,OK,2026-07-12 07:16:19
d,10,1000,10,AutoEncoder,8,8,0.282,OK,2026-07-12 07:16:20
d,10,1000,10,AutoEncoder,9,9,0.2651,OK,2026-07-12 07:16:20
d,10,1000,10,AutoEncoder,10,10,0.2681,OK,2026-07-12 07:16:20
d,500,1000,500,ECOD,1,1,0.0474,OK,2026-07-12 07:16:20
d,500,1000,500,ECOD,2,2,0.0496,OK,2026-07-12 07:16:20
d,500,1000,500,ECOD,3,3,0.0479,OK,2026-07-12 07:16:20
d,500,1000,500,ECOD,4,4,0.0476,OK,2026-07-12 07:16:21
d,500,1000,500,ECOD,5,5,0.0487,OK,2026-07-12 07:16:21
d,500,1000,500,ECOD,6,6,0.0508,OK,2026-07-12 07:16:21
d,500,1000,500,ECOD,7,7,0.047,OK,2026-07-12 07:16:21
d,500,1000,500,ECOD,8,8,0.0485,OK,2026-07-12 07:16:21
d,500,1000,500,ECOD,9,9,0.0467,OK,2026-07-12 07:16:21
d,500,1000,500,ECOD,10,10,0.048,OK,2026-07-12 07:16:21
d,500,1000,500,LUNAR,1,1,3.9741,OK,2026-07-12 07:16:25
d,500,1000,500,LUNAR,2,2,4.0503,OK,2026-07-12 07:16:29
d,500,1000,500,LUNAR,3,3,3.8849,OK,2026-07-12 07:16:33
d,500,1000,500,LUNAR,4,4,3.9384,OK,2026-07-12 07:16:37
d,500,1000,500,LUNAR,5,5,3.8626,OK,2026-07-12 07:16:41
d,500,1000,500,LUNAR,6,6,3.8502,OK,2026-07-12 07:16:44
d,500,1000,500,LUNAR,7,7,3.8737,OK,2026-07-12 07:16:48
d,500,1000,500,LUNAR,8,8,3.8647,OK,2026-07-12 07:16:52
d,500,1000,500,LUNAR,9,9,3.9608,OK,2026-07-12 07:16:56
d,500,1000,500,LUNAR,10,10,4.0242,OK,2026-07-12 07:17:00
d,500,1000,500,AutoEncoder,1,1,0.3472,OK,2026-07-12 07:17:01
d,500,1000,500,AutoEncoder,2,2,0.3352,OK,2026-07-12 07:17:01
d,500,1000,500,AutoEncoder,3,3,0.3288,OK,2026-07-12 07:17:01
d,500,1000,500,AutoEncoder,4,4,0.3524,OK,2026-07-12 07:17:02
d,500,1000,500,AutoEncoder,5,5,0.3444,OK,2026-07-12 07:17:02
d,500,1000,500,AutoEncoder,6,6,0.3412,OK,2026-07-12 07:17:02
d,500,1000,500,AutoEncoder,7,7,0.3445,OK,2026-07-12 07:17:03
d,500,1000,500,AutoEncoder,8,8,0.3341,OK,2026-07-12 07:17:03
d,500,1000,500,AutoEncoder,9,9,0.3395,OK,2026-07-12 07:17:03
d,500,1000,500,AutoEncoder,10,10,0.3405,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,1,1,0.003,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,2,2,0.0031,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,3,3,0.0028,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,4,4,0.003,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,5,5,0.0029,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,6,6,0.0029,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,7,7,0.0028,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,8,8,0.0029,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,9,9,0.0028,OK,2026-07-12 07:17:04
d,50,1000,50,ECOD,10,10,0.0028,OK,2026-07-12 07:17:04
d,50,1000,50,LUNAR,1,1,3.8399,OK,2026-07-12 07:17:08
d,50,1000,50,LUNAR,2,2,3.9409,OK,2026-07-12 07:17:12
d,50,1000,50,LUNAR,3,3,4.4098,OK,2026-07-12 07:17:16
d,50,1000,50,LUNAR,4,4,5.3107,OK,2026-07-12 07:17:21
d,50,1000,50,LUNAR,5,5,5.3493,OK,2026-07-12 07:17:27
d,50,1000,50,LUNAR,6,6,5.1809,OK,2026-07-12 07:17:32
d,50,1000,50,LUNAR,7,7,4.7346,OK,2026-07-12 07:17:37
d,50,1000,50,LUNAR,8,8,4.9227,OK,2026-07-12 07:17:42
d,50,1000,50,LUNAR,9,9,4.8013,OK,2026-07-12 07:17:46
d,50,1000,50,LUNAR,10,10,4.9337,OK,2026-07-12 07:17:51
d,50,1000,50,AutoEncoder,1,1,0.3856,OK,2026-07-12 07:17:52
d,50,1000,50,AutoEncoder,2,2,0.3618,OK,2026-07-12 07:17:52
