"grid","cell_value","n","d","method","rep","seed","t_construct","t_total","seconds","status","timestamp"
"n","250","250","20","LOF","1","1001","NA","0.0456","0.0459","OK","2026-07-11 13:46:24"
"n","250","250","20","LOF","2","2001","NA","0.0508","0.0573","OK","2026-07-11 13:46:24"
"n","250","250","20","LOF","3","3001","NA","0.0417","0.0418","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","4","4001","NA","0.0461","0.0462","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","5","5001","NA","0.0433","0.0434","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","6","6001","NA","0.0413","0.0414","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","7","7001","NA","0.0337","0.0338","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","8","8001","NA","0.0379","0.038","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","9","9001","NA","0.0467","0.0469","OK","2026-07-11 13:46:25"
"n","250","250","20","LOF","10","10001","NA","0.0438","0.0439","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","1","1001","NA","0.0084","0.0085","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","2","2001","NA","0.0088","0.0113","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","3","3001","NA","0.0066","0.0067","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","4","4001","NA","0.0065","0.0066","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","5","5001","NA","0.0068","0.0069","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","6","6001","NA","0.0065","0.0065","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","7","7001","NA","0.0064","0.0065","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","8","8001","NA","0.0163","0.0164","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","9","9001","NA","0.0066","0.0067","OK","2026-07-11 13:46:25"
"n","250","250","20","DBSCAN","10","10001","NA","0.0093","0.0094","OK","2026-07-11 13:46:25"
"n","250","250","20","MST","1","1001","NA","0.1729","0.173","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","2","2001","NA","0.1206","0.123","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","3","3001","NA","0.1121","0.1122","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","4","4001","NA","0.1067","0.1068","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","5","5001","NA","0.1063","0.1063","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","6","6001","NA","0.0897","0.0897","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","7","7001","NA","0.1206","0.1207","OK","2026-07-11 13:46:26"
"n","250","250","20","MST","8","8001","NA","0.1191","0.1192","OK","2026-07-11 13:46:27"
"n","250","250","20","MST","9","9001","NA","0.1221","0.1222","OK","2026-07-11 13:46:27"
"n","250","250","20","MST","10","10001","NA","0.1239","0.124","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","1","1001","NA","0.0058","0.0059","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","2","2001","NA","0.002","0.0038","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","3","3001","NA","0.0032","0.0033","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","4","4001","NA","0.0032","0.0033","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","5","5001","NA","0.0031","0.0033","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","6","6001","NA","0.002","0.0021","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","7","7001","NA","0.003","0.0032","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","8","8001","NA","0.0031","0.0032","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","9","9001","NA","0.003","0.0031","OK","2026-07-11 13:46:27"
"n","250","250","20","ODIN","10","10001","NA","0.0032","0.0033","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","1","1001","NA","0.0378","0.0379","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","2","2001","NA","0.0341","0.037","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","3","3001","NA","0.0327","0.0328","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","4","4001","NA","0.0327","0.0328","OK","2026-07-11 13:46:27"
"n","250","250","20","iForest","5","5001","NA","0.0297","0.0298","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","6","6001","NA","0.0322","0.0323","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","7","7001","NA","0.0317","0.0319","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","8","8001","NA","0.0323","0.0325","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","9","9001","NA","0.0315","0.0317","OK","2026-07-11 13:46:28"
"n","250","250","20","iForest","10","10001","NA","0.032","0.0321","OK","2026-07-11 13:46:28"
"n","250","250","20","RKCCD-OOS","1","1001","0.4112","0.2852","10.4662","OK","2026-07-11 13:46:38"
"n","250","250","20","RKCCD-OOS","2","2001","0.2861","0.3378","2.627","OK","2026-07-11 13:46:41"
"n","250","250","20","RKCCD-OOS","3","3001","0.2872","0.2463","2.5252","OK","2026-07-11 13:46:44"
"n","250","250","20","RKCCD-OOS","4","4001","0.2969","0.275","2.5781","OK","2026-07-11 13:46:46"
"n","250","250","20","RKCCD-OOS","5","5001","0.3108","0.3026","2.6114","OK","2026-07-11 13:46:49"
"n","250","250","20","RKCCD-OOS","6","6001","0.3373","0.326","2.6465","OK","2026-07-11 13:46:52"
"n","250","250","20","RKCCD-OOS","7","7001","0.3425","0.2908","2.6322","OK","2026-07-11 13:46:54"
"n","250","250","20","RKCCD-OOS","8","8001","0.3","0.2998","2.6021","OK","2026-07-11 13:46:57"
"n","250","250","20","RKCCD-OOS","9","9001","0.3314","0.3213","2.6448","OK","2026-07-11 13:47:00"
"n","250","250","20","RKCCD-OOS","10","10001","0.3035","0.326","2.6261","OK","2026-07-11 13:47:02"
"n","250","250","20","RKCCD-IOS","1","1001","0.3244","0.3453","2.6658","OK","2026-07-11 13:47:05"
"n","250","250","20","RKCCD-IOS","2","2001","0.3327","0.3156","2.6359","OK","2026-07-11 13:47:08"
"n","250","250","20","RKCCD-IOS","3","3001","0.33","0.3173","2.6356","OK","2026-07-11 13:47:11"
"n","250","250","20","RKCCD-IOS","4","4001","0.3399","0.3432","2.6738","OK","2026-07-11 13:47:13"
"n","250","250","20","RKCCD-IOS","5","5001","0.3363","0.3111","2.6435","OK","2026-07-11 13:47:16"
"n","250","250","20","RKCCD-IOS","6","6001","0.3327","0.3161","2.634","OK","2026-07-11 13:47:19"
"n","250","250","20","RKCCD-IOS","7","7001","0.3234","0.306","2.613","OK","2026-07-11 13:47:21"
"n","250","250","20","RKCCD-IOS","8","8001","0.3302","0.3256","2.6396","OK","2026-07-11 13:47:24"
"n","250","250","20","RKCCD-IOS","9","9001","0.3482","0.3251","2.6616","OK","2026-07-11 13:47:27"
"n","250","250","20","RKCCD-IOS","10","10001","0.3133","0.3004","2.6066","OK","2026-07-11 13:47:30"
"n","250","250","20","UNCCD-OOS","1","1001","18.8325","19.3495","38.1959","OK","2026-07-11 13:48:08"
"n","250","250","20","UNCCD-OOS","2","2001","19.9455","20.3838","40.3309","OK","2026-07-11 13:48:48"
"n","250","250","20","UNCCD-OOS","3","3001","21.373","20.27","41.644","OK","2026-07-11 13:49:30"
"n","250","250","20","UNCCD-OOS","4","4001","21.1184","20.8569","41.9764","OK","2026-07-11 13:50:12"
"n","250","250","20","UNCCD-OOS","5","5001","20.5732","20.9014","41.4756","OK","2026-07-11 13:50:53"
"n","250","250","20","UNCCD-OOS","6","6001","21.4345","21.1227","42.5582","OK","2026-07-11 13:51:36"
"n","250","250","20","UNCCD-OOS","7","7001","21.1041","21.0497","42.1549","OK","2026-07-11 13:52:18"
"n","250","250","20","UNCCD-OOS","8","8001","20.2551","20.7306","40.9867","OK","2026-07-11 13:52:59"
"n","250","250","20","UNCCD-OOS","9","9001","20.5596","20.4637","41.0242","OK","2026-07-11 13:53:40"
"n","250","250","20","UNCCD-OOS","10","10001","20.893","21.1235","42.0176","OK","2026-07-11 13:54:22"
"n","250","250","20","UNCCD-IOS","1","1001","21.6708","21.5864","43.2607","OK","2026-07-11 13:55:06"
"n","250","250","20","UNCCD-IOS","2","2001","27.8516","33.0607","60.9133","OK","2026-07-11 13:56:07"
"n","250","250","20","UNCCD-IOS","3","3001","21.2401","20.7953","42.0363","OK","2026-07-11 13:56:49"
"n","250","250","20","UNCCD-IOS","4","4001","20.9218","21.3307","42.2535","OK","2026-07-11 13:57:31"
"n","250","250","20","UNCCD-IOS","5","5001","21.3388","21.0332","42.373","OK","2026-07-11 13:58:13"
"n","250","250","20","UNCCD-IOS","6","6001","22.9461","22.779","45.7261","OK","2026-07-11 13:58:59"
"n","250","250","20","UNCCD-IOS","7","7001","22.9043","21.6355","44.5409","OK","2026-07-11 13:59:44"
"n","250","250","20","UNCCD-IOS","8","8001","22.4706","21.7772","44.249","OK","2026-07-11 14:00:28"
"n","250","250","20","UNCCD-IOS","9","9001","21.0168","21.3254","42.3433","OK","2026-07-11 14:01:11"
