"dataset","method","n","d","n_outliers","t_construct","t_total","wall_seconds","TPR","TNR","BA","F2","status","timestamp"
"Arrhythmia","LOF",452,274,66,NA,0.7089,0.709,0.6212,0.785,0.7031,0.5284,"OK","2026-07-11 08:32:46"
"Arrhythmia","DBSCAN",452,274,66,NA,0.0859,0.086,0.3788,0.9223,0.6505,0.3918,"OK","2026-07-11 08:32:46"
"Arrhythmia","MST",452,274,66,NA,0.3074,0.3075,0.5455,0.7332,0.6393,0.4467,"OK","2026-07-11 08:32:46"
"Arrhythmia","ODIN",452,274,66,NA,0.0295,0.0296,0.7727,0.5984,0.6856,0.5426,"OK","2026-07-11 08:32:46"
"Arrhythmia","iForest",452,274,66,NA,0.0174,0.0175,0.0152,1,0.5076,0.0189,"OK","2026-07-11 08:32:46"
"Arrhythmia","UNCCD-OOS",452,274,66,199.6748,196.3729,396.0592,0.2273,0.886,0.5566,0.2322,"OK","2026-07-16 07:25:13"
"Arrhythmia","UNCCD-IOS",452,274,66,196.178,200.787,396.9705,0.1818,0.943,0.5624,0.2013,"OK","2026-07-16 07:31:50"
"Musk","LOF",3062,166,97,NA,6.0275,6.029,0.1443,0.9879,0.5661,0.1598,"OK","2026-07-11 08:32:52"
"Musk","DBSCAN",3062,166,97,NA,2.4111,2.4219,0.0619,0.9855,0.5237,0.0686,"OK","2026-07-11 08:32:55"
"Musk","MST",3062,166,97,NA,20.4912,20.494,1,0,0.5,0.1406,"OK","2026-07-11 08:33:15"
"Musk","ODIN",3062,166,97,NA,0.9778,0.9804,0.1753,0.9798,0.5775,0.1828,"OK","2026-07-11 08:33:16"
"Musk","iForest",3062,166,97,NA,0.0227,0.0259,0.8866,1,0.9433,0.9072,"OK","2026-07-11 08:33:16"
"Musk","UNCCD-OOS",3062,166,97,NA,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE","2026-07-11 08:32:26"
"Musk","UNCCD-IOS",3062,166,97,NA,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE","2026-07-11 08:32:26"
"InternetAds","LOF",1966,1555,368,NA,78.9383,78.9384,0.6658,0.5638,0.6148,0.5075,"OK","2026-07-11 08:34:36"
"InternetAds","DBSCAN",1966,1555,368,NA,15.3073,15.3074,0.1712,0.9587,0.5649,0.1968,"OK","2026-07-11 08:34:51"
"InternetAds","MST",1966,1555,368,NA,19.5934,19.5934,0.7853,0.2835,0.5344,0.4972,"OK","2026-07-11 08:35:11"
"InternetAds","ODIN",1966,1555,368,NA,2.7975,2.7976,0.5842,0.5751,0.5797,0.4544,"OK","2026-07-11 08:35:14"
"InternetAds","iForest",1966,1555,368,NA,0.0244,0.0245,0,1,0.5,0,"OK","2026-07-11 08:35:14"
"Speech","LOF",3686,400,61,NA,92.5803,92.5803,0,1,0.5,0,"OK","2026-07-11 08:36:47"
"Speech","DBSCAN",3686,400,61,NA,11.4619,11.462,0,0.9992,0.4996,0,"OK","2026-07-11 08:36:59"
"Speech","MST",3686,400,61,NA,29.6968,29.6969,0.2787,0.7743,0.5265,0.0788,"OK","2026-07-11 08:37:28"
"Speech","ODIN",3686,400,61,NA,4.2618,4.2621,0.7377,0.2367,0.4872,0.0736,"OK","2026-07-11 08:37:33"
"Speech","iForest",3686,400,61,NA,0.0334,0.0335,0,1,0.5,0,"OK","2026-07-11 08:37:33"
"Speech","UNCCD-OOS",3686,400,61,NA,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE","2026-07-11 08:32:27"
"Speech","UNCCD-IOS",3686,400,61,NA,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE","2026-07-11 08:32:27"
