"dataset","method","labeling","TPR_mean","TPR_sd","TNR_mean","TNR_sd","BA_mean","BA_sd","F2_mean","F2_sd","n_seeds"
"Arrhythmia","AutoEncoder","contam_0.1",0.242424242424242,0,0.924870466321243,0,0.583647354372743,0,0.258899676375405,0,5
"Arrhythmia","AutoEncoder","true_rate",0.372727272727273,0.0172753852287748,0.892746113989637,0.00295382234481639,0.632736693358455,0.0101146037867956,0.372727272727273,0.0172753852287748,5
"Arrhythmia","ECOD","contam_0.1",0.393939393939394,NA,0.950777202072539,NA,0.672358298005966,NA,0.420711974110032,NA,1
"Arrhythmia","ECOD","true_rate",0.484848484848485,NA,0.911917098445596,NA,0.69838279164704,NA,0.484848484848485,NA,1
"Arrhythmia","LUNAR","contam_0.1",0.333333333333333,0.0303030303030303,0.940414507772021,0.00518134715025909,0.636873920552677,0.0177421887266447,0.355987055016181,0.0323624595469256,5
"Arrhythmia","LUNAR","true_rate",0.418181818181818,0.0135519271363624,0.900518134715026,0.00231716888860083,0.659349976448422,0.00793454801248159,0.418181818181818,0.0135519271363624,5
"Glass","AutoEncoder","contam_0.1",0.2,0.0929622251704528,0.905882352941176,0.0041012746398729,0.552941176470588,0.0485317499051629,0.157894736842105,0.0733912303977259,5
"Glass","AutoEncoder","true_rate",0.111111111111111,0,0.96078431372549,0,0.535947712418301,0,0.111111111111111,0,5
"Glass","ECOD","contam_0.1",0.222222222222222,NA,0.906862745098039,NA,0.564542483660131,NA,0.175438596491228,NA,1
"Glass","ECOD","true_rate",0.111111111111111,NA,0.96078431372549,NA,0.535947712418301,NA,0.111111111111111,NA,1
"Glass","LUNAR","contam_0.1",0.333333333333333,0.0785674201318386,0.911764705882353,0.00346620971169875,0.622549019607843,0.0410168149217687,0.263157894736842,0.0620269106303989,5
"Glass","LUNAR","true_rate",0.111111111111111,0,0.96078431372549,0,0.535947712418301,0,0.111111111111111,0,5
"Hepatitis","AutoEncoder","contam_0.1",0.285714285714286,0,0.925373134328358,0,0.605543710021322,0,0.285714285714286,0,5
"Hepatitis","AutoEncoder","true_rate",0.285714285714286,0,0.925373134328358,0,0.605543710021322,0,0.285714285714286,0,5
"Hepatitis","ECOD","contam_0.1",0.142857142857143,NA,0.91044776119403,NA,0.526652452025586,NA,0.142857142857143,NA,1
