"dataset","method","n","d","cutoff","calibrated","TPR","TNR","BA","F2"
"WBC","RKCCD-OOS",223,9,1,2,0.2,0.769953051643192,0.484976525821596,0.10989010989011
"WBC","RKCCD-OOS",223,9,1.1875,2,0.2,0.774647887323944,0.487323943661972,0.111111111111111
"WBC","RKCCD-OOS",223,9,1.375,2,0.2,0.807511737089202,0.503755868544601,0.120481927710843
"WBC","RKCCD-OOS",223,9,1.5625,2,0.2,0.826291079812207,0.513145539906103,0.126582278481013
"WBC","RKCCD-OOS",223,9,1.75,2,0.2,0.84037558685446,0.52018779342723,0.131578947368421
"WBC","RKCCD-OOS",223,9,1.9375,2,0.2,0.849765258215962,0.524882629107981,0.135135135135135
"WBC","RKCCD-OOS",223,9,2,2,0.2,0.849765258215962,0.524882629107981,0.135135135135135
"WBC","RKCCD-OOS",223,9,2.125,2,0.2,0.863849765258216,0.531924882629108,0.140845070422535
"WBC","RKCCD-OOS",223,9,2.3125,2,0.2,0.873239436619718,0.536619718309859,0.144927536231884
"WBC","RKCCD-OOS",223,9,2.5,2,0.2,0.892018779342723,0.546009389671361,0.153846153846154
"WBC","RKCCD-OOS",223,9,2.6875,2,0.2,0.892018779342723,0.546009389671361,0.153846153846154
"WBC","RKCCD-OOS",223,9,2.875,2,0.2,0.915492957746479,0.557746478873239,0.166666666666667
"WBC","RKCCD-OOS",223,9,3.0625,2,0.1,0.92018779342723,0.510093896713615,0.0862068965517241
"WBC","RKCCD-OOS",223,9,3.25,2,0.1,0.929577464788732,0.514788732394366,0.0892857142857143
"WBC","RKCCD-OOS",223,9,3.4375,2,0.1,0.938967136150235,0.519483568075117,0.0925925925925926
"WBC","RKCCD-OOS",223,9,3.625,2,0.1,0.938967136150235,0.519483568075117,0.0925925925925926
"WBC","RKCCD-OOS",223,9,3.8125,2,0.1,0.943661971830986,0.521830985915493,0.0943396226415094
"WBC","RKCCD-OOS",223,9,4,2,0.1,0.953051643192488,0.526525821596244,0.0980392156862745
"WBC","RKCCD-IOS",223,9,1,2,1,0.699530516431925,0.849765258215962,0.43859649122807
"WBC","RKCCD-IOS",223,9,1.1875,2,1,0.704225352112676,0.852112676056338,0.442477876106195
"WBC","RKCCD-IOS",223,9,1.375,2,1,0.741784037558685,0.870892018779343,0.476190476190476
"WBC","RKCCD-IOS",223,9,1.5625,2,1,0.741784037558685,0.870892018779343,0.476190476190476
"WBC","RKCCD-IOS",223,9,1.75,2,1,0.751173708920188,0.875586854460094,0.485436893203884
"WBC","RKCCD-IOS",223,9,1.9375,2,1,0.774647887323944,0.887323943661972,0.510204081632653
"WBC","RKCCD-IOS",223,9,2,2,1,0.779342723004695,0.889671361502347,0.515463917525773
"WBC","RKCCD-IOS",223,9,2.125,2,1,0.784037558685446,0.892018779342723,0.520833333333333
"WBC","RKCCD-IOS",223,9,2.3125,2,1,0.788732394366197,0.894366197183099,0.526315789473684
"WBC","RKCCD-IOS",223,9,2.5,2,1,0.7981220657277,0.89906103286385,0.537634408602151
"WBC","RKCCD-IOS",223,9,2.6875,2,1,0.812206572769953,0.906103286384977,0.555555555555556
"WBC","RKCCD-IOS",223,9,2.875,2,1,0.826291079812207,0.913145539906103,0.574712643678161
"WBC","RKCCD-IOS",223,9,3.0625,2,1,0.835680751173709,0.917840375586854,0.588235294117647
"WBC","RKCCD-IOS",223,9,3.25,2,1,0.84037558685446,0.92018779342723,0.595238095238095
"WBC","RKCCD-IOS",223,9,3.4375,2,1,0.854460093896714,0.927230046948357,0.617283950617284
"WBC","RKCCD-IOS",223,9,3.625,2,0.9,0.859154929577465,0.879577464788732,0.569620253164557
"WBC","RKCCD-IOS",223,9,3.8125,2,0.9,0.859154929577465,0.879577464788732,0.569620253164557
"WBC","RKCCD-IOS",223,9,4,2,0.9,0.859154929577465,0.879577464788732,0.569620253164557
"WBC","UNCCD-OOS",223,9,1,2,0.5,0.7981220657277,0.64906103286385,0.284090909090909
"WBC","UNCCD-OOS",223,9,1.1875,2,0.5,0.816901408450704,0.658450704225352,0.297619047619048
"WBC","UNCCD-OOS",223,9,1.375,2,0.5,0.826291079812207,0.663145539906103,0.304878048780488
"WBC","UNCCD-OOS",223,9,1.5625,2,0.3,0.854460093896714,0.577230046948357,0.202702702702703
"WBC","UNCCD-OOS",223,9,1.75,2,0.2,0.887323943661972,0.543661971830986,0.151515151515152
"WBC","UNCCD-OOS",223,9,1.9375,2,0.2,0.892018779342723,0.546009389671361,0.153846153846154
"WBC","UNCCD-OOS",223,9,2,2,0.2,0.896713615023474,0.548356807511737,0.15625
"WBC","UNCCD-OOS",223,9,2.125,2,0.1,0.906103286384977,0.503051643192488,0.0819672131147541
"WBC","UNCCD-OOS",223,9,2.3125,2,0.1,0.915492957746479,0.507746478873239,0.0847457627118644
"WBC","UNCCD-OOS",223,9,2.5,2,0.1,0.924882629107981,0.512441314553991,0.087719298245614
"WBC","UNCCD-OOS",223,9,2.6875,2,0.1,0.934272300469484,0.517136150234742,0.0909090909090909
"WBC","UNCCD-OOS",223,9,2.875,2,0.1,0.934272300469484,0.517136150234742,0.0909090909090909
"WBC","UNCCD-OOS",223,9,3.0625,2,0.1,0.943661971830986,0.521830985915493,0.0943396226415094
"WBC","UNCCD-OOS",223,9,3.25,2,0.1,0.957746478873239,0.52887323943662,0.1
"WBC","UNCCD-OOS",223,9,3.4375,2,0.1,0.957746478873239,0.52887323943662,0.1
"WBC","UNCCD-OOS",223,9,3.625,2,0.1,0.957746478873239,0.52887323943662,0.1
"WBC","UNCCD-OOS",223,9,3.8125,2,0.1,0.962441314553991,0.531220657276995,0.102040816326531
"WBC","UNCCD-OOS",223,9,4,2,0,0.962441314553991,0.481220657276995,0
"WBC","UNCCD-IOS",223,9,1,2,1,0.699530516431925,0.849765258215962,0.43859649122807
"WBC","UNCCD-IOS",223,9,1.1875,2,1,0.708920187793427,0.854460093896714,0.446428571428571
"WBC","UNCCD-IOS",223,9,1.375,2,1,0.732394366197183,0.866197183098592,0.467289719626168
"WBC","UNCCD-IOS",223,9,1.5625,2,1,0.751173708920188,0.875586854460094,0.485436893203884
"WBC","UNCCD-IOS",223,9,1.75,2,1,0.779342723004695,0.889671361502347,0.515463917525773
"WBC","UNCCD-IOS",223,9,1.9375,2,1,0.807511737089202,0.903755868544601,0.549450549450549
"WBC","UNCCD-IOS",223,9,2,2,1,0.807511737089202,0.903755868544601,0.549450549450549
"WBC","UNCCD-IOS",223,9,2.125,2,0.9,0.821596244131455,0.860798122065728,0.517241379310345
"WBC","UNCCD-IOS",223,9,2.3125,2,0.9,0.830985915492958,0.865492957746479,0.529411764705882
"WBC","UNCCD-IOS",223,9,2.5,2,0.9,0.84037558685446,0.87018779342723,0.542168674698795
"WBC","UNCCD-IOS",223,9,2.6875,2,0.9,0.845070422535211,0.872535211267606,0.548780487804878
"WBC","UNCCD-IOS",223,9,2.875,2,0.8,0.849765258215962,0.824882629107981,0.5
"WBC","UNCCD-IOS",223,9,3.0625,2,0.8,0.859154929577465,0.829577464788732,0.512820512820513
"WBC","UNCCD-IOS",223,9,3.25,2,0.8,0.859154929577465,0.829577464788732,0.512820512820513
"WBC","UNCCD-IOS",223,9,3.4375,2,0.8,0.863849765258216,0.831924882629108,0.51948051948052
"WBC","UNCCD-IOS",223,9,3.625,2,0.8,0.868544600938967,0.834272300469484,0.526315789473684
"WBC","UNCCD-IOS",223,9,3.8125,2,0.8,0.892018779342723,0.846009389671362,0.563380281690141
"WBC","UNCCD-IOS",223,9,4,2,0.8,0.896713615023474,0.848356807511737,0.571428571428571
"Thyroid","RKCCD-OOS",3656,6,1,2,0.354838709677419,0.788661240527645,0.571749975102532,0.142487046632124
"Thyroid","RKCCD-OOS",3656,6,1.1875,2,0.311827956989247,0.815604827392647,0.563716392190947,0.137051039697543
"Thyroid","RKCCD-OOS",3656,6,1.375,2,0.279569892473118,0.835531855178221,0.557550873825669,0.132113821138211
"Thyroid","RKCCD-OOS",3656,6,1.5625,2,0.268817204301075,0.853213584058378,0.561015394179726,0.135869565217391
"Thyroid","RKCCD-OOS",3656,6,1.75,2,0.247311827956989,0.868930676396295,0.558121252176642,0.133410672853828
"Thyroid","RKCCD-OOS",3656,6,1.9375,2,0.21505376344086,0.884647768734213,0.549850766087536,0.12453300124533
