"setting","method","multiplier","cutoff","TPR_mean","TNR_mean","BA_mean","F2_mean","TPR_sd","TNR_sd","BA_sd","F2_sd","n_reps"
"gaussian","RKCCD-IOS",0.5,3.25,1,0.895168421052632,0.947584210526316,0.71618958522637,0,0.0142930845043096,0.00714654225215482,0.0276247608045586,200
"gaussian","RKCCD-IOS",0.59375,3.859375,1,0.902178947368421,0.951089473684211,0.730319513249976,0,0.0152863543421362,0.00764317717106804,0.0311067385897467,200
"gaussian","RKCCD-IOS",0.6875,4.46875,0.9998,0.917084210526316,0.958442105263158,0.762208412426216,0.00282842712474619,0.0173779829897951,0.00877461935318096,0.0387437430634744,200
"gaussian","RKCCD-IOS",0.78125,5.078125,0.9988,0.938936842105263,0.968868421052632,0.813632982344665,0.00684061180372387,0.0190247881989702,0.00973510853278059,0.0480723822339778,200
"gaussian","RKCCD-IOS",0.875,5.6875,0.998,0.961484210526316,0.979742105263158,0.873866723352308,0.00961573250240402,0.0177847765826302,0.00974714638074582,0.0515057798728736,200
"gaussian","RKCCD-IOS",0.96875,6.296875,0.9958,0.9784,0.9871,0.923116866128672,0.0146777786442516,0.0141331599536606,0.00995206848292895,0.0453211177013304,200
"gaussian","RKCCD-IOS",1,6.5,0.9952,0.983084210526316,0.989142105263158,0.937803923988896,0.0153013284804402,0.013029742495809,0.0097836832658725,0.0427436381039049,200
"gaussian","RKCCD-IOS",1.0625,6.90625,0.9944,0.989642105263158,0.992021052631579,0.958979455159876,0.0160601883003035,0.0102494343988834,0.00929261263988593,0.035616877940493,200
"gaussian","RKCCD-IOS",1.15625,7.515625,0.9916,0.995378947368421,0.993489473684211,0.976615561874563,0.0218132779626856,0.00702116718590315,0.0112132769459284,0.0284421982413183,200
"gaussian","RKCCD-IOS",1.25,8.125,0.9852,0.998031578947368,0.991615789473684,0.980834033247671,0.0345678271426891,0.0044022850732009,0.0175011168467553,0.0325339825985668,200
"gaussian","RKCCD-IOS",1.34375,8.734375,0.9786,0.999221052631579,0.988910526315789,0.979675647078882,0.0424150347857855,0.00250888813817239,0.0212217165244615,0.0358999964970411,200
"gaussian","RKCCD-IOS",1.4375,9.34375,0.9702,0.999726315789474,0.984963157894737,0.974561717563114,0.0518207191639924,0.00119967422741525,0.0258831137649211,0.0430571216531351,200
"gaussian","RKCCD-IOS",1.53125,9.953125,0.961,0.999873684210526,0.980436842105263,0.967572515526976,0.0557723297327545,0.000834666963686293,0.0278714533578007,0.046355799494062,200
"gaussian","RKCCD-IOS",1.625,10.5625,0.9494,0.999936842105263,0.974668421052632,0.958190613367444,0.0639695279216016,0.000513084140123221,0.0319838413071669,0.0533795629429059,200
"gaussian","RKCCD-IOS",1.71875,11.171875,0.9394,0.999978947368421,0.969689473684211,0.949964160533566,0.0722894794850613,0.000209996688998793,0.0361418774269343,0.0606794523442823,200
"gaussian","RKCCD-IOS",1.8125,11.78125,0.9282,1,0.9641,0.940675135979757,0.0784059786460011,0,0.0392029893230006,0.06622900131717,200
"gaussian","RKCCD-IOS",1.90625,12.390625,0.9184,1,0.9592,0.932379635865251,0.0856159474178807,0,0.0428079737089403,0.072619973619379,200
