"grid","cell_value","n","d","method","n_reps_ok","mean_t_total","sd_t_total","mean_t_construct","sd_t_construct","mean_seconds","sd_seconds","statuses"
"d",10,1000,10,"LOF",10,0.4394,0.0287,NA,NA,0.4396,0.0287,"OK"
"d",10,1000,10,"DBSCAN",10,0.0739,0.0078,NA,NA,0.074,0.0078,"OK"
"d",10,1000,10,"MST",10,2.4516,0.2522,NA,NA,2.4518,0.2522,"OK"
"d",10,1000,10,"ODIN",10,0.0664,0.0137,NA,NA,0.0665,0.0137,"OK"
"d",10,1000,10,"iForest",10,0.0928,0.0151,NA,NA,0.0929,0.0152,"OK"
"d",10,1000,10,"RKCCD-OOS",10,10.9594,1.7407,10.5435,0.9188,24.252,2.2915,"OK"
"d",10,1000,10,"RKCCD-IOS",10,11.6818,2.1863,11.4868,2.5963,25.9393,4.6568,"OK"
"d",10,1000,10,"UNCCD-OOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"d",10,1000,10,"UNCCD-IOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"d",50,1000,50,"LOF",10,0.7956,0.0282,NA,NA,0.7957,0.0282,"OK"
"d",50,1000,50,"DBSCAN",10,0.1207,0.0124,NA,NA,0.1209,0.0124,"OK"
"d",50,1000,50,"MST",10,2.0157,0.1068,NA,NA,2.0158,0.1068,"OK"
"d",50,1000,50,"ODIN",10,0.0764,0.0174,NA,NA,0.0765,0.0174,"OK"
"d",50,1000,50,"iForest",10,0.0954,0.0102,NA,NA,0.0955,0.0102,"OK"
"d",50,1000,50,"RKCCD-OOS",10,10.0014,0.2608,9.7532,0.2029,20.9178,0.6417,"OK"
"d",50,1000,50,"RKCCD-IOS",10,9.8435,0.2173,9.7697,0.2623,20.5589,0.3318,"OK"
"d",50,1000,50,"UNCCD-OOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"d",50,1000,50,"UNCCD-IOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"d",100,1000,100,"LOF",10,1.21,0.0805,NA,NA,1.2101,0.0805,"OK"
"d",100,1000,100,"DBSCAN",10,0.1807,0.0127,NA,NA,0.1808,0.0127,"OK"
"d",100,1000,100,"MST",10,2.0754,0.0773,NA,NA,2.0755,0.0773,"OK"
"d",100,1000,100,"ODIN",10,0.0922,0.0144,NA,NA,0.0923,0.0144,"OK"
"d",100,1000,100,"iForest",10,0.0953,0.0103,NA,NA,0.0955,0.0103,"OK"
"d",100,1000,100,"RKCCD-OOS",10,10.0084,0.2048,9.5593,0.2441,20.1677,0.4066,"OK"
"d",100,1000,100,"RKCCD-IOS",10,9.7682,0.2286,9.543,0.2501,19.8861,0.4133,"OK"
"d",100,1000,100,"UNCCD-OOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"d",100,1000,100,"UNCCD-IOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"d",500,1000,500,"LOF",10,4.7732,0.1079,NA,NA,4.7733,0.1079,"OK"
"d",500,1000,500,"DBSCAN",10,0.7248,0.0189,NA,NA,0.725,0.0189,"OK"
"d",500,1000,500,"MST",10,2.5151,0.0827,NA,NA,2.5152,0.0827,"OK"
"d",500,1000,500,"ODIN",10,0.2001,0.0088,NA,NA,0.2003,0.0089,"OK"
"d",500,1000,500,"iForest",10,0.1173,0.0048,NA,NA,0.1174,0.0048,"OK"
"d",500,1000,500,"RKCCD-OOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
"d",500,1000,500,"RKCCD-IOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
"d",500,1000,500,"UNCCD-OOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
"d",500,1000,500,"UNCCD-IOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
"d",1000,1000,1000,"LOF",10,9.3095,0.0915,NA,NA,9.3096,0.0915,"OK"
"d",1000,1000,1000,"DBSCAN",10,1.441,0.0742,NA,NA,1.4412,0.0742,"OK"
"d",1000,1000,1000,"MST",10,3.1225,0.072,NA,NA,3.1226,0.072,"OK"
"d",1000,1000,1000,"ODIN",10,0.3033,0.0281,NA,NA,0.3034,0.0282,"OK"
"d",1000,1000,1000,"iForest",10,0.1222,0.0033,NA,NA,0.1223,0.0033,"OK"
"d",1000,1000,1000,"RKCCD-OOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
"d",1000,1000,1000,"RKCCD-IOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
"d",1000,1000,1000,"UNCCD-OOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
"d",1000,1000,1000,"UNCCD-IOS",0,NA,NA,NA,NA,NA,NA,"SKIPPED_NO_TABLE"
