"grid","cell_value","n","d","method","n_reps_ok","mean_t_total","sd_t_total","mean_t_construct","sd_t_construct","mean_seconds","sd_seconds","statuses"
"n",250,250,20,"LOF",10,0.0431,0.0048,NA,NA,0.0439,0.0062,"OK"
"n",250,250,20,"DBSCAN",10,0.0082,0.003,NA,NA,0.0086,0.0032,"OK"
"n",250,250,20,"MST",10,0.1194,0.0215,NA,NA,0.1197,0.0216,"OK"
"n",250,250,20,"ODIN",10,0.0032,0.001,NA,NA,0.0034,0.001,"OK"
"n",250,250,20,"iForest",10,0.0327,0.0021,NA,NA,0.0331,0.0025,"OK"
"n",250,250,20,"RKCCD-OOS",10,0.3011,0.028,0.3207,0.0377,3.396,2.4845,"OK"
"n",250,250,20,"RKCCD-IOS",10,0.3206,0.0147,0.3311,0.0096,2.6409,0.0216,"OK"
"n",250,250,20,"UNCCD-OOS",10,20.6252,0.5431,20.6089,0.7871,41.2364,1.2536,"OK"
"n",250,250,20,"UNCCD-IOS",10,22.7474,3.667,22.4059,2.0513,45.1546,5.666,"OK"
"n",500,500,20,"LOF",10,0.1527,0.0156,NA,NA,0.1528,0.0156,"OK"
"n",500,500,20,"DBSCAN",10,0.0242,0.0035,NA,NA,0.0243,0.0035,"OK"
"n",500,500,20,"MST",10,0.4036,0.0238,NA,NA,0.4037,0.0238,"OK"
"n",500,500,20,"ODIN",10,0.0109,0.0043,NA,NA,0.011,0.0044,"OK"
"n",500,500,20,"iForest",10,0.0513,0.0066,NA,NA,0.0514,0.0066,"OK"
"n",500,500,20,"RKCCD-OOS",10,1.4089,0.0539,1.3437,0.0649,4.7775,0.0946,"OK"
"n",500,500,20,"RKCCD-IOS",10,1.4053,0.0378,1.3821,0.0546,4.8106,0.0793,"OK"
"n",500,500,20,"UNCCD-OOS",10,337.5306,153.0208,282.5134,NA,365.7858,167.718,"OK;OK_NOCONSTRUCT"
"n",500,500,20,"UNCCD-IOS",10,811.818,15.1056,807.3616,NA,892.5574,262.3225,"OK;OK_NOCONSTRUCT"
"n",1000,1000,20,"LOF",10,0.6732,0.098,NA,NA,0.6738,0.0977,"OK"
"n",1000,1000,20,"DBSCAN",10,0.1044,0.0153,NA,NA,0.1053,0.0157,"OK"
"n",1000,1000,20,"MST",10,4.1982,0.491,NA,NA,4.1988,0.4902,"OK"
"n",1000,1000,20,"ODIN",10,0.0921,0.0105,NA,NA,0.0929,0.0103,"OK"
"n",1000,1000,20,"iForest",10,0.1424,0.0191,NA,NA,0.1432,0.0202,"OK"
"n",1000,1000,20,"RKCCD-OOS",10,16.4369,0.4594,16.2773,0.43,35.8516,2.6645,"OK"
"n",1000,1000,20,"RKCCD-IOS",10,16.1518,0.3571,15.9807,0.2912,34.4856,0.6301,"OK"
"n",1000,1000,20,"UNCCD-OOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"n",1000,1000,20,"UNCCD-IOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"n",2000,2000,20,"LOF",10,2.4363,0.3983,NA,NA,2.4365,0.3983,"OK"
"n",2000,2000,20,"DBSCAN",10,0.5097,0.0574,NA,NA,0.5099,0.0574,"OK"
"n",2000,2000,20,"MST",10,15.9709,3.3358,NA,NA,15.9712,3.3358,"OK"
"n",2000,2000,20,"ODIN",10,0.4446,0.0374,NA,NA,0.4448,0.0374,"OK"
"n",2000,2000,20,"iForest",10,0.2123,0.0169,NA,NA,0.2125,0.0169,"OK"
"n",2000,2000,20,"RKCCD-OOS",10,97.9544,25.2402,96.9077,27.8585,197.0933,49.0413,"OK"
"n",2000,2000,20,"RKCCD-IOS",10,119.7734,2.4616,117.335,3.7804,239.4457,5.4029,"OK"
"n",2000,2000,20,"UNCCD-OOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"n",2000,2000,20,"UNCCD-IOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"n",4000,4000,20,"LOF",10,9.7526,1.9918,NA,NA,9.7529,1.9918,"OK"
"n",4000,4000,20,"DBSCAN",10,1.8179,0.094,NA,NA,1.8181,0.094,"OK"
"n",4000,4000,20,"MST",10,64.1269,9.419,NA,NA,64.1272,9.419,"OK"
"n",4000,4000,20,"ODIN",10,3.0379,0.1943,NA,NA,3.0381,0.1943,"OK"
"n",4000,4000,20,"iForest",10,0.4414,0.0251,NA,NA,0.4416,0.0251,"OK"
"n",4000,4000,20,"RKCCD-OOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"n",4000,4000,20,"RKCCD-IOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"n",4000,4000,20,"UNCCD-OOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
"n",4000,4000,20,"UNCCD-IOS",0,NA,NA,NA,NA,NA,NA,"FLAGGED_TIMEOUT"
