grid,cell_value,n,d,method,rep,seed,fit_seconds,status,timestamp
micro,n100_d10,100,10,ECOD,1,1,1.6372,OK,2026-07-10 19:07:18
micro,n100_d10,100,10,ECOD,2,2,0.0011,OK,2026-07-10 19:07:18
micro,n100_d10,100,10,LUNAR,1,1,5.7422,OK,2026-07-10 19:07:24
micro,n100_d10,100,10,LUNAR,2,2,1.9912,OK,2026-07-10 19:07:26
micro,n100_d10,100,10,AutoEncoder,1,1,1.7088,OK,2026-07-10 19:07:28
micro,n100_d10,100,10,AutoEncoder,2,2,0.0436,OK,2026-07-10 19:07:28
micro,n100_d40,100,40,ECOD,1,1,0.0011,OK,2026-07-10 19:07:28
micro,n100_d40,100,40,ECOD,2,2,0.001,OK,2026-07-10 19:07:28
micro,n100_d40,100,40,LUNAR,1,1,2.1645,OK,2026-07-10 19:07:30
micro,n100_d40,100,40,LUNAR,2,2,1.6843,OK,2026-07-10 19:07:32
micro,n100_d40,100,40,AutoEncoder,1,1,0.0419,OK,2026-07-10 19:07:32
micro,n100_d40,100,40,AutoEncoder,2,2,0.0335,OK,2026-07-10 19:07:32
micro,n200_d10,200,10,ECOD,1,1,0.0011,OK,2026-07-10 19:07:32
micro,n200_d10,200,10,ECOD,2,2,0.0011,OK,2026-07-10 19:07:32
micro,n200_d10,200,10,LUNAR,1,1,2.3757,OK,2026-07-10 19:07:34
micro,n200_d10,200,10,LUNAR,2,2,2.1439,OK,2026-07-10 19:07:36
micro,n200_d10,200,10,AutoEncoder,1,1,0.0828,OK,2026-07-10 19:07:36
micro,n200_d10,200,10,AutoEncoder,2,2,0.0729,OK,2026-07-10 19:07:36
